gene,paired_effect,external_effect,paired_se,paired_ci_low,paired_ci_high,paired_p_value,paired_fdr,external_se,external_ci_low,external_ci_high,external_p_value,external_fdr,strong_gene,locked_40_gene_module,same_direction
A1BG,-0.237850863741512,1.056262233791112,0.5773001530997864,-2.0750776030136464,1.5993758755306222,0.7080052386969571,0.8689460111986559,0.3462740438277767,0.2508129428923645,1.86171152468986,0.016751047322359,0.0580737940870907,False,False,False
A2M,-0.3353390261337757,-1.0940764122711215,0.4679771406539572,-1.824651148365196,1.1539730960976446,0.5253857155779232,0.7682776690072778,0.44573518441837,-2.031539244994504,-0.1566135795477395,0.0246818180875034,0.0751329212439533,False,False,True
A2M-AS1,-0.4404766674523338,0.0354599208569556,0.4100617694823667,-1.7454762306795917,0.8645228957749237,0.3614551598484237,0.6581211211638234,0.2547485007232344,-0.511648618037074,0.5825684597509854,0.891305759665407,0.9314191677552616,False,False,False
A2ML1,1.1739953144085862,0.1987020895839256,0.3868950395790319,-0.0572773748322978,2.4052680036494705,0.0561151184956434,0.3842432495372138,0.4790695949027635,-0.8276264903148933,1.2250306694827444,0.6845226922719695,0.7842875593554502,False,False,True
A4GALT,0.3446114400462112,1.7711199802737134,0.3080180705774659,-0.6356395306236614,1.3248624107160838,0.344733320627516,0.6441754460017054,0.5130416461439232,0.4676369658502441,3.074602994697183,0.0170703346313415,0.0587354644487294,False,False,True
AAAS,0.031796710117369,0.849124150390332,0.3513180127019506,-1.0862540013855684,1.1498474216203065,0.9335887092220146,0.973447676359006,0.1623414594364267,0.459157535854082,1.239090764926582,0.0015293710631402,0.0131480911545896,False,False,True
AACS,-0.0900550535828874,-0.4409592583927155,0.2567389255673391,-0.9071128986771748,0.7270027915113998,0.7489502624443145,0.8881917196874829,0.1282286738336353,-0.7132522231317957,-0.1686662936536353,0.0034588625811033,0.0215321158949854,False,False,True
AADAC,0.8446551552342015,0.2021949809481308,0.3688199528863934,-0.3290945411440126,2.018404851612416,0.1059412415784428,0.4337530313454083,0.636536992632683,-1.2163469613445386,1.6207369232408004,0.7572934075432404,0.837689631637772,False,False,True
AADAT,0.7917700506885192,0.5561392432129018,0.3401754942123384,-0.2908201940155963,1.8743602953926348,0.1023777494046537,0.4312227237868411,0.3857047951975279,-0.2763480210020417,1.3886265074278452,0.1727787259999942,0.2983212458028462,True,False,True
AAGAB,0.8729089808117623,0.5163684018272487,0.1592274281973436,0.3661762402452991,1.3796417213782255,0.0119370312755776,0.3284634096090313,0.1229029945920409,0.243573623744233,0.7891631799102645,0.0017129909104906,0.0141318391309772,True,False,True
AAK1,0.0025742050514077,0.02944005394599,0.1929366802433406,-0.6114364201427158,0.6165848302455312,0.9901924473495658,0.9955621648138144,0.1884552610497459,-0.4054967266725697,0.4643768345645498,0.879749506787602,0.9240708195671452,False,False,True
AAMDC,0.1352487545214795,0.5636237280271423,0.191668435218449,-0.4747257489789833,0.7452232580219424,0.5312708672621166,0.7711041514437891,0.0993009634134179,0.3554509972366868,0.7717964588175978,1.9631052020549342e-05,0.0009218268780274,False,False,True
AAMP,-0.0366583223258853,0.0544148321065103,0.2641835633504125,-0.8774083274270902,0.8040916827753194,0.8984301630381086,0.9604242966775692,0.0688833499481413,-0.1004534728687829,0.2092831370818035,0.4490623356241575,0.5854201124450271,False,False,False
AAR2,0.4144311023510278,0.3342003268217954,0.2707257423084762,-0.4471390360037715,1.2760012407058272,0.2233159907050377,0.5445065410325611,0.1344116952504638,0.0516035976938034,0.6167970559497875,0.023060278844621,0.0716148636041177,False,False,True
AARD,-0.8416856298702858,-0.901944679391898,0.6847188216275463,-3.0207665139170845,1.337395254176513,0.3066020936769307,0.6168961423000197,0.5559649407711927,-2.1251057857442204,0.3212164269604247,0.1329284874313044,0.2482834582342494,True,False,True
AARS,0.0925275061536088,0.2454950778016655,0.1712810266626097,-0.4525651643140136,0.6376201766212313,0.6265786528735672,0.8262583720514477,0.1038681572432585,0.0130198929865713,0.4779702626167598,0.0404969877195332,0.106160140891691,False,False,True
AARS2,0.4783487892812608,0.2052098747584514,0.4247916806021444,-0.8735279251662904,1.830225503728812,0.3420806494460561,0.6423366574430216,0.1960189089700279,-0.2319940727125962,0.642413822229499,0.3199761448619257,0.4636290871764051,False,False,True
AARSD1,-0.4052480459655992,0.156657602694743,0.4395931455976553,-1.8042296280009005,0.9937335360697022,0.4245858593914796,0.7031658839068189,0.1565372545509849,-0.1893897538610865,0.5027049592505726,0.3391960644347886,0.4827107974162464,False,False,False
AASDH,0.0403003617555943,0.5983820553654762,0.2812791655288748,-0.8548554793350576,0.9354562028462464,0.8951550835134583,0.958802245100602,0.2007526609613714,0.1778747885584365,1.0188893221725157,0.0077511287259761,0.0351045199156855,False,False,True
AASDHPPT,0.4387082162169542,0.6946865747636202,0.1073648872477267,0.0970252274782244,0.780391204955684,0.0264853840106172,0.3498147974421917,0.1923492984548807,0.2828482530898213,1.106524896437419,0.0027570978116092,0.0186438658511168,False,False,True
AASS,-0.8156666087923956,-0.7898657856638178,0.3038850388654405,-1.7827644279607129,0.1514312103759215,0.0747860240571787,0.4031269805863017,0.3307141865053191,-1.5064795498918744,-0.0732520214357613,0.033301502473638,0.0923389228769071,True,False,True
AATF,0.4551807110937408,-0.0132608039999722,0.3136228951687933,-0.5429073128885651,1.4532687350760467,0.2425883859333905,0.5608073600611846,0.1576040266196866,-0.3933287032089642,0.3668070952090198,0.935521465290138,0.960074397058814,False,False,False
AATK,0.0301095237923531,-0.4138924247544502,0.1079181625530007,-0.3133342338974506,0.3735532814821569,0.7983702156998351,0.9124850300247878,0.2855798650713377,-1.013436640039807,0.1856517905309065,0.1642790780252858,0.2882591512568137,False,False,False
ABAT,0.0478048357254441,0.5152080087114106,0.4185425809014015,-1.284184454468129,1.379794125919017,0.916280671550951,0.9659532139786708,0.2831476227304469,-0.1159865066503617,1.1464025240731828,0.0989515533997323,0.201687605848014,False,False,True
ABCA1,1.9746170659341784,-1.0464300660658514,0.8074507364247738,-0.5950515468994522,4.5442856787678085,0.0920480747324995,0.4212294255656772,0.3970858350419318,-1.9060404428887503,-0.1868196892429522,0.0208637411481516,0.0670809296245859,True,False,False
ABCA10,0.5641224672541065,1.2476776721244185,0.2711404501970096,-0.2987674566883278,1.4270123911965409,0.1289342532316851,0.45388094006052,0.1691688228447523,0.8925391161767198,1.6028162280721168,7.159111518635536e-07,0.0001185875819035,True,False,True
ABCA12,1.2481486824892585,0.4742675910439026,0.2094160434009054,0.5816933689009143,1.9146039960776025,0.0094482487475651,0.3266802321025554,0.5401724281499222,-0.7079537359553011,1.6564889180431064,0.3978671227119151,0.5384323358308496,False,False,True
ABCA13,0.8141815691574386,3.259314467960543,0.1300048152843775,0.4004482250865803,1.2279149132282967,0.0082166132928987,0.3266802321025554,0.741705440042131,1.41344380793215,5.105185127988936,0.0053887332311095,0.028227784109276,True,False,True
ABCA2,0.0179236311096521,0.4554306139299935,0.2602557325682109,-0.8103262634309554,0.8461735256502598,0.949427101054983,0.979078529195708,0.2270711821444497,-0.0474062995290087,0.9582675273889958,0.0714035359439593,0.1587926517079457,False,False,True
ABCA3,-0.4763567229716083,-0.3210540075424939,0.5306015140252013,-2.164967550859052,1.2122541049158349,0.4354696655092683,0.7104291541289877,0.1384146790304493,-0.6138540281768204,-0.0282539869081673,0.0335388671481822,0.0927636879299071,False,False,True
