gene,Full,-P1,-P2,-P3,-P6,external,change_-P1,change_-P2,change_-P3,change_-P6,max_absolute_change
STATH,-8.18913929166113,-8.24334213231259,-9.00951712733816,-9.05781714869503,-6.44588075829875,-8.01433607877914,-0.0542028406514561,-0.820377835677025,-0.868677857033898,1.74325853336238,1.74325853336238
HP,-6.09096406623014,-5.03881253880638,-7.91803923480116,-6.40688918772434,-5.00011530358868,-5.557701766586934,1.05215152742376,-1.82707516857102,-0.3159251214942,1.09084876264146,1.82707516857102
DMBT1,-5.63917802243527,-6.2113247157657,-5.9930831384503,-6.13606567510375,-4.21623856042131,-4.122261086068283,-0.572146693330432,-0.353905116015036,-0.496887652668486,1.42293946201396,1.42293946201396
AZGP1,-4.35835809392324,-4.16782268277622,-4.634414424253,-4.71303036656623,-3.91816490209749,-3.920736526555655,0.190535411147017,-0.276056330329762,-0.354672272642998,0.440193191825744,0.440193191825744
ODAM,-4.3158829667733,-4.15329903705189,-4.83097233284414,-4.42300527621001,-3.85625522098714,-3.769172762510352,0.162583929721403,-0.515089366070846,-0.107122309436716,0.459627745786161,0.515089366070846
LINC01829,-3.48173194966468,-3.48800746289901,-3.79139730597762,-3.46962757947963,-3.17789545030248,-2.8554241628539487,-0.0062755132343248,-0.309665356312933,0.0121043701850576,0.3038364993622,0.309665356312933
RTN1,-3.46346152456479,-2.75542229092266,-4.15730302186751,-3.96057000827831,-2.98055077719069,-1.6452313243314298,0.708039233642136,-0.693841497302718,-0.497108483713522,0.482910747374104,0.708039233642136
PKDCC,-3.4351268821068,-3.00824532199056,-4.13744631003354,-3.4790605361778,-3.11575536022531,-2.0075053467672914,0.426881560116245,-0.70231942792674,-0.043933654071,0.319371521881494,0.70231942792674
PPP1R1B,-3.24547662364471,-3.03634715233051,-3.38843861828214,-3.26209545201855,-3.29502527194764,-3.6598857810485135,0.209129471314202,-0.142961994637433,-0.0166188283738435,-0.0495486483029262,0.209129471314202
KCNN4,-3.20075022003752,-3.27698925233711,-3.46236194120816,-3.52563953087159,-2.53801015573322,-2.193886335115488,-0.0762390322995903,-0.261611721170638,-0.324889310834072,0.6627400643043,0.6627400643043
F5,-2.99721702783476,-3.2872561228838,-3.21927806142598,-3.23910778108123,-2.24322614594804,-1.983061256977641,-0.290039095049036,-0.222061033591221,-0.241890753246464,0.753990881886721,0.753990881886721
RNASE1,-2.95539286109818,-2.50316389857159,-3.14395794902138,-3.1990687572643,-2.97538083953545,-2.0557341408732537,0.452228962526587,-0.188565087923196,-0.243675896166125,-0.0199879784372654,0.452228962526587
GJC3,-2.9523977103431,-2.75030118421377,-3.05700138862538,-3.58889255863691,-2.41339570989632,-3.518476687221773,0.202096526129327,-0.104603678282285,-0.636494848293814,0.539002000446771,0.636494848293814
NPY1R,-2.62834071916555,-2.5693566963097,-2.59014389749995,-2.8098269493685,-2.54403533348407,-2.4266135472779062,0.0589840228558542,0.0381968216656023,-0.181486230202942,0.084305385681485,0.181486230202942
CHRM3,-2.61886255016899,-2.56638283056438,-2.91288285763214,-2.76432533752316,-2.23185917495627,-2.3518548824705405,0.0524797196046105,-0.294020307463152,-0.145462787354173,0.387003375212715,0.387003375212715
NOSTRIN,-2.59377279839004,-2.63556169866824,-2.54405333646593,-2.69753138597593,-2.49794477245005,-2.4956478915708797,-0.0417889002782053,0.0497194619241084,-0.103758587585894,0.0958280259399911,0.103758587585894
SLC37A2,-2.43192829833492,-1.91856275027108,-2.91606058366725,-2.87752355419348,-2.01556630520785,-2.579025425065756,0.513365548063836,-0.484132285332337,-0.44559525585856,0.416361993127061,0.513365548063836
