"gene","cohort","effect"
"STATH","Paired discovery",-8.18913929166113
"HP","Paired discovery",-6.09096406623014
"DMBT1","Paired discovery",-5.63917802243527
"ODAM","Paired discovery",-4.3158829667733
"AZGP1","Paired discovery",-4.35835809392324
"GJC3","Paired discovery",-2.9523977103431
"LINC01829","Paired discovery",-3.48173194966468
"PPP1R1B","Paired discovery",-3.24547662364471
"CA2","Paired discovery",-2.24929867233816
"TESC","Paired discovery",-1.74967970573714
"TCEAL2","Paired discovery",-2.31413083121063
"PLCB1","Paired discovery",-1.95846612838711
"SLC22A3","Paired discovery",-2.42263932999951
"RNASE1","Paired discovery",-2.95539286109818
"NPY1R","Paired discovery",-2.62834071916555
"NOSTRIN","Paired discovery",-2.59377279839004
"SLC37A2","Paired discovery",-2.43192829833492
"KCNN4","Paired discovery",-3.20075022003752
"PHLDA1","Paired discovery",-2.08716677722235
"CHRM3","Paired discovery",-2.61886255016899
"CHI3L2","Paired discovery",-1.57767594446552
"TCN1","Paired discovery",-2.3689540492603
"PKDCC","Paired discovery",-3.4351268821068
"F5","Paired discovery",-2.99721702783476
"AMOTL1","Paired discovery",-1.80374463341563
"ADGRG6","Paired discovery",-2.39606191790216
"SLCO1A2","Paired discovery",-2.32361195108332
"TBX3","Paired discovery",-1.87297748595877
"KRT14","Paired discovery",-1.96763553389033
"RTN1","Paired discovery",-3.46346152456479
"GRIA2","Paired discovery",-1.916532171764
"ANO1","Paired discovery",-2.24456412789937
"RNF128","Paired discovery",-2.0954346500298
"KCNMA1","Paired discovery",-1.88095471512481
"SOD3","Paired discovery",-1.78442148464473
"CHST1","Paired discovery",-2.03987053066747
"SMAD9","Paired discovery",-1.65981903904452
"ST3GAL5","Paired discovery",-1.85548723856298
"QPRT","Paired discovery",-1.63083482852514
"PADI2","Paired discovery",-1.76342897668992
"STATH","External cohort",-8.01433607877914
"HP","External cohort",-5.55770176658693
"DMBT1","External cohort",-4.12226108606828
"ODAM","External cohort",-3.76917276251035
"AZGP1","External cohort",-3.92073652655565
"GJC3","External cohort",-3.51847668722177
"LINC01829","External cohort",-2.85542416285395
"PPP1R1B","External cohort",-3.65988578104851
"CA2","External cohort",-3.25619486763782
"TESC","External cohort",-2.9405584663593
"TCEAL2","External cohort",-2.97232284956589
"PLCB1","External cohort",-2.97095645480898
"SLC22A3","External cohort",-2.79381379306897
"RNASE1","External cohort",-2.05573414087325
"NPY1R","External cohort",-2.42661354727791
"NOSTRIN","External cohort",-2.49564789157088
"SLC37A2","External cohort",-2.57902542506576
"KCNN4","External cohort",-2.19388633511549
"PHLDA1","External cohort",-2.69306242926045
"CHRM3","External cohort",-2.35185488247054
"CHI3L2","External cohort",-3.36964607405573
"TCN1","External cohort",-2.08151232008692
"PKDCC","External cohort",-2.00750534676729
"F5","External cohort",-1.98306125697764
"AMOTL1","External cohort",-2.29238881317965
"ADGRG6","External cohort",-1.90815440392894
"SLCO1A2","External cohort",-1.83823573376823
"TBX3","External cohort",-2.17936461044368
"KRT14","External cohort",-4.04258740589066
"RTN1","External cohort",-1.64523132433143
"GRIA2","External cohort",-1.86883921227076
"ANO1","External cohort",-1.65098937100253
"RNF128","External cohort",-1.78699823313882
"KCNMA1","External cohort",-1.73950724341295
"SOD3","External cohort",-1.79171743804047
"CHST1","External cohort",-1.66264844328487
"SMAD9","External cohort",-1.7922609184985
"ST3GAL5","External cohort",-1.64262193946156
"QPRT","External cohort",-1.66648141300114
"PADI2","External cohort",-1.59638854363348
