"dataset","module","genes_detected","case","control","n_case","n_control","hedges_g","median_difference","p","kind"
"GSE36830","top10",8,"CRSwNP_NP","CRSwNP_UT",6,6,-1.96098145433008,-1.57168956133359,0.0151515151515152,"Named definition"
"GSE136825","top10",10,"CRSwNP_NP","CRSwNP_IT",42,33,-1.60204132707688,-1.20431401427943,6.44226423746679e-08,"Named definition"
"GSE36830","top20",18,"CRSwNP_NP","CRSwNP_UT",6,6,-2.05559045936121,-1.6895084156375,0.00865800865800866,"Named definition"
"GSE136825","top20",20,"CRSwNP_NP","CRSwNP_IT",42,33,-1.55452459746506,-1.07698372369889,9.1911620286872e-08,"Named definition"
"GSE36830","top40",38,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97122935205006,-1.31814363833096,0.00865800865800866,"Named definition"
"GSE136825","top40",40,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42947302485822,-1.00554533844608,3.87098822911866e-07,"Named definition"
"GSE36830","drop_top5",33,"CRSwNP_NP","CRSwNP_UT",6,6,-1.83405716484715,-1.16174335971055,0.00865800865800866,"Named definition"
"GSE136825","drop_top5",35,"CRSwNP_NP","CRSwNP_IT",42,33,-1.38595652274257,-0.959193861632655,7.53217273899862e-07,"Named definition"
"GSE36830","LOO:STATH",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.93683665864248,-1.28793717381681,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:STATH",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.41263002273594,-0.995586140457035,4.84120940242171e-07,"Single-gene leave-one-out"
"GSE36830","LOO:HP",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.95968810824361,-1.31315288173012,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:HP",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.41821268826088,-0.992035171268123,4.57870528214289e-07,"Single-gene leave-one-out"
"GSE36830","LOO:DMBT1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.94316349772439,-1.28349746899112,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:DMBT1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.4287721337281,-1.00595048055548,3.87098822911866e-07,"Single-gene leave-one-out"
"GSE36830","LOO:AZGP1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.93549863029992,-1.28093417245714,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:AZGP1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.41980926400941,-0.983349203505627,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:ODAM",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97498443164498,-1.28570435426844,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:ODAM",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43153615650554,-0.99468029323955,3.6594778022585e-07,"Single-gene leave-one-out"
"GSE36830","LOO:PPP1R1B",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97157050214498,-1.3010534094362,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:PPP1R1B",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42335314053622,-0.984933321003707,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:GJC3",38,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97122935205006,-1.31814363833096,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:GJC3",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42314248148002,-1.02159630524215,3.87098822911866e-07,"Single-gene leave-one-out"
"GSE36830","LOO:LINC01829",38,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97122935205006,-1.31814363833096,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:LINC01829",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.41755801675708,-0.997482949561543,4.84120940242171e-07,"Single-gene leave-one-out"
"GSE36830","LOO:NOSTRIN",37,"CRSwNP_NP","CRSwNP_UT",6,6,-2.0079970686829,-1.34740530457921,0.00865800865800866,"Single-gene leave-one-out"
