"gene","available","index","row","column","status"
"STATH","False",1,1,1,"Unavailable"
"HP","False",2,1,2,"Unavailable"
"DMBT1","True",3,1,3,"Available"
"AZGP1","False",4,1,4,"Unavailable"
"ODAM","False",5,1,5,"Unavailable"
"PPP1R1B","False",6,1,6,"Unavailable"
"GJC3","False",7,1,7,"Unavailable"
"LINC01829","False",8,1,8,"Unavailable"
"NOSTRIN","False",9,1,9,"Unavailable"
"SLC37A2","False",10,1,10,"Unavailable"
"NPY1R","False",11,2,1,"Unavailable"
"SLC22A3","False",12,2,2,"Unavailable"
"CHRM3","False",13,2,3,"Unavailable"
"TCEAL2","False",14,2,4,"Unavailable"
"CA2","False",15,2,5,"Unavailable"
"KCNN4","False",16,2,6,"Unavailable"
"PHLDA1","False",17,2,7,"Unavailable"
"TCN1","False",18,2,8,"Unavailable"
"RNASE1","False",19,2,9,"Unavailable"
"PKDCC","False",20,2,10,"Unavailable"
"F5","False",21,3,1,"Unavailable"
"KRT14","True",22,3,2,"Available"
"PLCB1","True",23,3,3,"Available"
"ADGRG6","False",24,3,4,"Unavailable"
"TBX3","False",25,3,5,"Unavailable"
"GRIA2","False",26,3,6,"Unavailable"
"SLCO1A2","False",27,3,7,"Unavailable"
"AMOTL1","False",28,3,8,"Unavailable"
"RNF128","False",29,3,9,"Unavailable"
"SOD3","False",30,3,10,"Unavailable"
"TESC","False",31,4,1,"Unavailable"
"KCNMA1","False",32,4,2,"Unavailable"
"CHST1","False",33,4,3,"Unavailable"
"SMAD9","True",34,4,4,"Available"
"ANO1","False",35,4,5,"Unavailable"
"RTN1","False",36,4,6,"Unavailable"
"ST3GAL5","False",37,4,7,"Unavailable"
"QPRT","False",38,4,8,"Unavailable"
"PADI2","False",39,4,9,"Unavailable"
"CHI3L2","False",40,4,10,"Unavailable"
