"pair_series","pair_id","polyp_sample","polyp_title","polyp_score","inferior_turbinate_sample","inferior_turbinate_title","inferior_turbinate_score","pair_numeric","delta_polyp_minus_it","direction"
"PY-SCP","1","RHP5630.bam","PY 1",0.53918503752485,"RHP5640.bam","SCP 1",-0.677666144023975,1,1.21685118154882,"Higher in polyp"
"PY-SCP","10","RHP5631.bam","PY 10",0.063223642748364,"RHP5641.bam","SCP 10",0.850562688266345,10,-0.787339045517981,"Lower in polyp"
"PY-SCP","14","RHP5632.bam","PY 14",-0.240081134017422,"RHP5642.bam","SCP 14",-0.428951973140183,14,0.18887083912276,"Higher in polyp"
"PY-SCP","75","RHP5634.bam","PY 75",-0.876819983929657,"RHP5643.bam","SCP 75",-0.298644952794451,75,-0.578175031135206,"Lower in polyp"
"PY-SCP","154","RHP5637.bam","PY 154",-0.329698658971142,"RHP5646.bam","SCP 154",0.438662748625862,154,-0.768361407597004,"Lower in polyp"
"PY-SCP","155","RHP5638.bam","PY 155",0.515446072068801,"RHP5647.bam","SCP 155",0.101432755084717,155,0.414013316984083,"Higher in polyp"
"PY-SCP","156","RHP5639.bam","PY 156",-0.62998048221031,"RHP5648.bam","SCP 156",0.373990353811994,156,-1.0039708360223,"Lower in polyp"
"PY-SCP","157","RHP5695.bam","PY 157",0.290017660204142,"RHP5649.bam","SCP 157",0.697773822007643,157,-0.407756161803502,"Lower in polyp"
"PY-SCP","182","RHP5635.bam","PY 182",-0.110247944797171,"RHP5644.bam","SCP 182",0.397571026189266,182,-0.507818970986437,"Lower in polyp"
"PY-SCP","202","RHP5696.bam","PY 202",-0.620177228772351,"RHP5722.bam","SCP 202",-0.218776200405622,202,-0.401401028366729,"Lower in polyp"
"PY-SCP","203","RHP5697.bam","PY 203",-0.571598080991986,"RHP5723.bam","SCP 203",0.599600408129568,203,-1.17119848912155,"Lower in polyp"
"PY-SCP","204","RHP5698.bam","PY 204",-1.02873748572062,"RHP5724.bam","SCP 204",0.429963561571955,204,-1.45870104729257,"Lower in polyp"
"PY-SCP","206","RHP5700.bam","PY 206",-1.06395177038732,"RHP5725.bam","SCP 206",-0.376038918766962,206,-0.687912851620356,"Lower in polyp"
"PY-SCP","209","RHP5703.bam","PY 209",-1.47265682079373,"RHP5726.bam","SCP 209",1.05979649082904,209,-2.53245331162277,"Lower in polyp"
"PY-SCP","210","RHP5704.bam","PY 210",-0.0417214803915799,"RHP5727.bam","SCP 210",0.202213666298347,210,-0.243935146689927,"Lower in polyp"
"PY-SCP","212","RHP5706.bam","PY 212",-1.2400687557558,"RHP5729.bam","SCP 212",-0.294945392842871,212,-0.945123362912924,"Lower in polyp"
"PY-SCP","404","RHP5636.bam","PY 404",-0.70230144627429,"RHP5645.bam","SCP 404",-0.645251722264968,404,-0.0570497240093214,"Lower in polyp"
"TT-SCT","18","RHP5707.bam","TT 18",-0.574655075958814,"RHP5731.bam","SCT 18",0.841362815746828,18,-1.41601789170564,"Lower in polyp"
"TT-SCT","19","RHP5708.bam","TT 19",-0.387059965870613,"RHP5732.bam","SCT 19",0.184702994183554,19,-0.571762960054167,"Lower in polyp"
"TT-SCT","20","RHP5709.bam","TT 20",0.331092984912149,"RHP5733.bam","SCT 20",0.592007333004486,20,-0.260914348092337,"Lower in polyp"
"TT-SCT","21","RHP5710.bam","TT 21",-0.753146411388479,"RHP5734.bam","SCT 21",-0.57153374545686,21,-0.181612665931618,"Lower in polyp"
"TT-SCT","22","RHP5711.bam","TT 22",-0.84193523486137,"RHP5735.bam","SCT 22",-0.198596967171304,22,-0.643338267690066,"Lower in polyp"
"TT-SCT","23","RHP5712.bam","TT 23",0.254362479979017,"RHP5736.bam","SCT 23",0.770036247525764,23,-0.515673767546747,"Lower in polyp"
"TT-SCT","28","RHP5713.bam","TT 28",-1.26054283852144,"RHP5737.bam","SCT 28",0.931541837352563,28,-2.192084675874,"Lower in polyp"
"TT-SCT","29","RHP5714.bam","TT 29",-0.320606059527499,"RHP5738.bam","SCT 29",0.857527778621177,29,-1.17813383814868,"Lower in polyp"
"TT-SCT","30","RHP5715.bam","TT 30",-0.1591293770164,"RHP5739.bam","SCT 30",0.722560622913244,30,-0.881689999929644,"Lower in polyp"
"TT-SCT","31","RHP5716.bam","TT 31",0.328423181178799,"RHP5740.bam","SCT 31",0.246868415009924,31,0.0815547661688752,"Higher in polyp"
"TT-SCT","32","RHP5717.bam","TT 32",-1.37427940791515,"RHP5741.bam","SCT 32",1.15078201637803,32,-2.52506142429317,"Lower in polyp"
"TT-SCT","33","RHP5718.bam","TT 33",-1.16385469975117,"RHP5742.bam","SCT 33",-0.28561987294859,33,-0.878234826802578,"Lower in polyp"
"TT-SCT","35","RHP5720.bam","TT 35",-0.611268525953508,"RHP5744.bam","SCT 35",0.90507366282906,35,-1.51634218878257,"Lower in polyp"
