marker_family,panel,gene,predefined_before_disease_testing,excluded_from_intrinsic_testing
broad_compartment,Epithelial,EPCAM,true,true
broad_compartment,Epithelial,KRT8,true,true
broad_compartment,Epithelial,KRT18,true,true
broad_compartment,Epithelial,KRT19,true,true
broad_compartment,Epithelial,KRT4,true,true
broad_compartment,Epithelial,KRT5,true,true
broad_compartment,Immune,PTPRC,true,true
broad_compartment,Immune,LST1,true,true
broad_compartment,Immune,TYROBP,true,true
broad_compartment,Immune,CD3D,true,true
broad_compartment,Immune,CD79A,true,true
broad_compartment,Immune,MS4A1,true,true
broad_compartment,Immune,NKG7,true,true
broad_compartment,Fibroblast,COL1A1,true,true
broad_compartment,Fibroblast,COL1A2,true,true
broad_compartment,Fibroblast,COL3A1,true,true
broad_compartment,Fibroblast,DCN,true,true
broad_compartment,Fibroblast,LUM,true,true
broad_compartment,Fibroblast,COL6A1,true,true
broad_compartment,Endothelial,PECAM1,true,true
broad_compartment,Endothelial,VWF,true,true
broad_compartment,Endothelial,EMCN,true,true
broad_compartment,Endothelial,KDR,true,true
broad_compartment,Endothelial,CLDN5,true,true
broad_compartment,Endothelial,RAMP2,true,true
secretory_state,Surface_club,SCGB1A1,true,true
secretory_state,Surface_club,SCGB3A1,true,true
secretory_state,Surface_club,KRT4,true,true
secretory_state,Surface_club,KRT13,true,true
secretory_state,Surface_club,KLF3,true,true
secretory_state,Surface_club,CYP2F1,true,true
secretory_state,Serous_glandular,LTF,true,true
secretory_state,Serous_glandular,LYZ,true,true
secretory_state,Serous_glandular,BPIFB1,true,true
secretory_state,Serous_glandular,SLPI,true,true
secretory_state,Serous_glandular,WFDC2,true,true
secretory_state,Serous_glandular,PRR4,true,true
secretory_state,Serous_glandular,LPO,true,true
secretory_state,Mucous_glandular,MUC5B,true,true
secretory_state,Mucous_glandular,BPIFB2,true,true
secretory_state,Mucous_glandular,AGR2,true,true
secretory_state,Mucous_glandular,SPDEF,true,true
secretory_state,Mucous_glandular,ZG16B,true,true
secretory_state,Mucous_glandular,PIP,true,true
secretory_state,Goblet,MUC5AC,true,true
secretory_state,Goblet,CLCA1,true,true
secretory_state,Goblet,SPDEF,true,true
secretory_state,Goblet,AGR2,true,true
secretory_state,Goblet,FCGBP,true,true
secretory_state,Inflammatory_secretory,CST1,true,true
secretory_state,Inflammatory_secretory,SLC26A4,true,true
secretory_state,Inflammatory_secretory,SERPINB3,true,true
secretory_state,Inflammatory_secretory,SERPINB4,true,true
secretory_state,Inflammatory_secretory,CCL26,true,true
secretory_state,Inflammatory_secretory,POSTN,true,true
secretory_state,Transitional_secretory,KRT4,true,true
secretory_state,Transitional_secretory,KRT13,true,true
secretory_state,Transitional_secretory,KRT17,true,true
secretory_state,Transitional_secretory,KRT19,true,true
secretory_state,Transitional_secretory,SFN,true,true
secretory_state,Transitional_secretory,KRT16,true,true
reference_score,Ciliary,FOXJ1,true,true
reference_score,Ciliary,PIFO,true,true
reference_score,Ciliary,TPPP3,true,true
reference_score,Ciliary,CAPS,true,true
reference_score,Ciliary,CETN2,true,true
reference_score,Ciliary,DNAH5,true,true
reference_score,Ciliary,DNAI2,true,true
reference_score,Ciliary,RSPH1,true,true
reference_score,Ciliary,CFAP54,true,true
reference_score,Ciliary,IFT88,true,true
