stratum,module_genes,candidate_genes,matching_expression_bins,matching_variance_bins,eligible_nonmodule_universe,seed
0_0,4,1412,5,5,18052,20260831
0_1,20,984,5,5,18052,20260831
0_2,46,654,5,5,18052,20260831
0_3,2,448,5,5,18052,20260831
1_0,4,1669,5,5,18052,20260831
1_1,8,1171,5,5,18052,20260831
1_2,15,520,5,5,18052,20260831
1_3,6,219,5,5,18052,20260831
2_1,9,1255,5,5,18052,20260831
2_2,15,1181,5,5,18052,20260831
2_3,10,543,5,5,18052,20260831
3_2,12,1161,5,5,18052,20260831
3_3,23,1671,5,5,18052,20260831
3_4,7,562,5,5,18052,20260831
4_3,3,725,5,5,18052,20260831
4_4,14,2861,5,5,18052,20260831
