gene,mean_expression,residual_variance,expression_bin,variance_bin,stratum
A1BG,1.1862416666666666,0.5328583088405797,3,3,3_3
A1BG-AS1,1.07765,0.11021415521739131,2,2,2_2
A1CF,0.9894791666666666,0.15552526380434784,0,2,0_2
A2M,1.01256875,0.048117500597826095,1,1,1_1
A2M-AS1,1.0732166666666667,0.09020649202898552,2,2,2_2
A2ML1,1.3288854166666668,0.878804783460145,4,4,4_4
A4GALT,1.0379875,0.11323104485507246,2,2,2_2
A4GNT,1.5333458333333334,2.8758712942753624,4,4,4_4
AAAS,0.9907624999999999,0.034903033985507245,0,0,0_0
AACS,0.9583666666666667,0.05531973913043478,0,1,0_1
AADAC,1.4543625,1.1969412205072465,4,4,4_4
AADACL2,1.0931125,0.4705221399275363,3,3,3_3
AADAT,1.0444666666666667,0.07161973347826088,2,1,2_1
AAED1,1.0635541666666668,0.12311883021739133,2,2,2_2
AAGAB,0.9990944444444446,0.0483191720289855,0,1,0_1
AAK1,1.2168291666666669,0.11308571194173321,3,2,3_2
AAMDC,1.028148611111111,0.08954436095813205,1,2,1_2
AAMP,1.036175,0.0796628491304348,2,1,2_1
AANAT,1.0307250000000001,1.809647012753623,2,4,2_4
AAR2,0.9955458333333334,0.03023111586956522,0,0,0_0
AARS,0.9998499999999999,0.043086431449275354,0,1,0_1
AARS2,1.0312291666666666,0.0209687327173913,2,0,2_0
AASDH,1.0357229166666666,0.05136042748188406,2,1,2_1
AASDHPPT,1.0386625,0.06029585975040257,2,1,2_1
AASS,0.9918458333333334,0.050313886992753624,0,1,0_1
AATBC,1.1109166666666666,0.128216725942029,3,2,3_2
AATF,1.0027416666666666,0.038022106521739124,1,1,1_1
AATK,1.2923958333333332,0.7413177541304349,4,4,4_4
ABAT,1.0515111111111113,0.055071859565217374,2,1,2_1
ABCA1,1.3679,0.6606275385235506,4,4,4_4
ABCA12,1.8615333333333333,3.238487760434783,4,4,4_4
ABCA13,1.013376388888889,0.08129204509661837,1,2,1_2
ABCA2,1.1164777777777777,0.17483081933977454,3,2,3_2
ABCA3,1.0352125,0.1001396826811594,2,2,2_2
ABCA4,1.6138583333333332,0.938403677246377,4,4,4_4
ABCA5,1.0394583333333334,0.037246490905797104,2,1,2_1
