source,target,cor_discovery,cor_validation,consensus_weight
DMBT1,LTF,0.9344805252123896,0.9335199739596269,0.9340001261038718
AZGP1,ZG16B,0.8903020572650661,0.9680753163382888,0.9283746257430284
DMBT1,AZGP1,0.8820246031628378,0.957448888672598,0.918963261550835
STATH,PIP,0.8984597619133285,0.9323754234613109,0.9152605098969846
LPO,MPO,0.901145661646042,0.9171151838054006,0.9090953575483428
AZGP1,LTF,0.8747104877572035,0.9376681974100193,0.9056424274021926
PPP1R1B,KCNN4,0.8743186941833639,0.9278589775494934,0.9006910955690548
ODAM,TCN1,0.8865733922281955,0.8920052954285853,0.8892851964660351
AZGP1,PIP,0.8683088463050778,0.9034409434039086,0.8857007187937802
STATH,ZG16B,0.877598101372367,0.8844304655978803,0.8810076602417134
AZGP1,TCN1,0.9178886375435293,0.8426631136912992,0.8794719423235142
ZG16B,C6orf58,0.8640361459884257,0.8940183036309728,0.8788993853180328
ZG16B,PIP,0.8831090330812557,0.8730517563517287,0.8780659954591494
STATH,AZGP1,0.8749256404889643,0.8784499059496288,0.8766860022838562
AZGP1,BPIFB2,0.8769230014200985,0.8718327435918943,0.8743741683323697
C6orf58,PIP,0.8682374141693883,0.8742124526475589,0.8712198111391839
AZGP1,C6orf58,0.8244649612712053,0.9140551296575096,0.8681050783590804
DMBT1,ZG16B,0.7921923431317828,0.9492241372971568,0.8671609386282801
STATH,C6orf58,0.9293650484456057,0.8071121779827202,0.8660842039847795
KCNN4,CHRM1,0.8696135232103196,0.856228498559907,0.8628950581071622
PHLDA1,TCN1,0.9036149679520474,0.8240092438482958,0.8628945975448964
DMBT1,ODAM,0.8912584324243333,0.8319312693522299,0.8610840603609233
STATH,DMBT1,0.815622874466682,0.9051709547441186,0.85923113071638
CHRM3,CHRM1,0.8239307558534185,0.8941335458710603,0.8583147023577308
AZGP1,ODAM,0.8402461290407448,0.8741618520876452,0.8570362374904179
KCNN4,PHLDA1,0.8506259649719541,0.8632959443845393,0.8569375390006398
KIAA1324,PART1,0.8528379633975419,0.8599067302659066,0.8563650533223639
KCNN4,SLC13A2,0.8693655417618574,0.8378989206040854,0.8534872284062874
KCNN4,CCL28,0.8648742707222312,0.8395858958145901,0.8521362797999594
DMBT1,TCN1,0.8668196399264122,0.8343742501595034,0.850442230305581
ODAM,PPP1R1B,0.894862496576028,0.8026749175553857,0.8475161831272426
KIAA1324,ELF5,0.8325866795355383,0.8597608572621773,0.8460646768081883
AZGP1,LYZ,0.8914632206551952,0.8020780047589157,0.8455903507840401
PPP1R1B,CHRM1,0.8584197947080378,0.8325424989499597,0.8453821390556706
PPP1R1B,SLC13A2,0.8837173540979647,0.8048894757727271,0.8433829485300093
LTF,ZG16B,0.7470081160211994,0.9506589115173327,0.8427039352413912
STATH,LTF,0.7466677014752596,0.9503249502114708,0.8423639036835502
TCN1,CCL28,0.8177000177332168,0.867350251005214,0.842159317248152
P4HB,ALDH18A1,0.812502280555269,0.8661331747340228,0.8388892535585187
SLC22A3,CA2,0.791800910162986,0.8876703656732333,0.8383663897513883
PPP1R1B,CCL28,0.8367325763151848,0.8380603868301526,0.8373962183937147
