gene,discovery_module_cor,validation_module_cor,is_locked,same_positive_direction,consensus_degree,consensus_strength
CHRM1,0.8918704625090217,0.8029182372276532,False,True,159,101.72708158751139
PPP1R1B,0.9159047012152468,0.9079103840624599,True,True,156,103.64956032725892
KCNN4,0.9092829767782049,0.8201744849045253,True,True,155,102.20999625011878
MANSC1,0.8824162847597441,0.7249474071742903,False,True,149,90.27092843351174
CCL28,0.8438400982438775,0.8411302806280521,False,True,145,96.41092573272326
KCNMA1,0.8792274323683201,0.7924555328328076,True,True,145,85.78498993857572
PHLDA1,0.8736179029094074,0.8032110165739405,True,True,142,88.8724414814229
TCN1,0.8969113365350179,0.8612489541975218,True,True,141,90.65414218714032
ATP2A3,0.8321795880418242,0.8134461721935533,False,True,136,84.3135683719881
SLC13A2,0.8587339676921675,0.6732829832291124,False,True,135,84.6962737310023
EGF,0.8185103694041145,0.8167967227485717,False,True,135,84.65205377094826
GALNT6,0.8238602593543166,0.7047488173189007,False,True,135,82.18848246817689
KIAA1324,0.7594112029161557,0.9083509630700535,False,True,134,87.9683453535761
NRG3,0.795489093101689,0.8550523540826787,False,True,134,85.39391759648724
FAHD2A,0.8315961929932022,0.8395084744189931,False,True,134,84.24449730085135
ATP6V0E2,0.7479789565973155,0.8113875485249734,False,True,134,81.33086459755648
SLITRK5,0.7854562156456365,0.7784408361398653,False,True,133,80.8284772748132
SLC5A1,0.803550146430099,0.7044027645325929,False,True,132,78.90356208485116
ST3GAL6,0.7424090897763658,0.8220701727728341,False,True,131,80.32614938857017
ADGRG2,0.7661180703511655,0.8339000437482514,False,True,130,81.8659265620776
AZGP1,0.8974013079517263,0.7047679554740848,True,True,128,79.50176224039289
MCFD2,0.7743519259394334,0.7106814355084731,False,True,127,75.20252395699022
SLC22A3,0.8634602434315755,0.7896815616818897,True,True,126,78.1047673987399
ANO1,0.8091586071931475,0.7129572710293989,True,True,126,75.18256178704924
CHRM3,0.8659396340010027,0.6032176470440441,True,True,126,74.91882490023502
GALNT13,0.8262883372303519,0.7403866444354784,False,True,124,75.81770065206119
SLC12A2,0.7645824693585569,0.7241018620703455,False,True,123,77.55780368628346
CA2,0.8414818882105506,0.7349554462465844,True,True,123,77.3661601358527
CCDC129,0.840492716347164,0.7010585889949333,False,True,123,75.64251440020038
LYZ,0.8684242435123712,0.6882020802174138,False,True,123,74.7556500389883
BPIFB2,0.7835688898080917,0.7957849596557938,False,True,121,76.88895109603278
MPO,0.8162816025627556,0.810214517162169,False,True,119,71.35913760450438
F5,0.8324137623269262,0.7529010385464128,True,True,118,70.76563101980291
LPO,0.8184615624008161,0.8659264852627954,False,True,117,72.8433413450569
FOLH1,0.8132544617860676,0.5880656352969771,False,True,116,69.2966819474255
ALDH18A1,0.6662761789364682,0.8511877580601147,False,True,114,70.83870200821163
DEPTOR,0.8483380358117274,0.5713514358862487,False,True,114,63.16216073868868
ODAM,0.8477292458201956,0.8476992161891694,True,True,113,71.26167015097614
PART1,0.7344166982631813,0.8262603614633272,False,True,113,70.54868439884652
TUSC8,0.7985205041409564,0.5517087017405248,False,True,113,65.38161974202431
PYCR1,0.7623625870349686,0.7540501627140344,False,True,112,69.15926430085865
P4HB,0.6974353886672104,0.8087767440938529,False,True,112,68.93770151141939
ACSL1,0.7850374361802908,0.7462461357255208,False,True,112,67.70666637442237
SLCO1A2,0.826148317721958,0.6977073746835991,True,True,110,64.23145919775912
PADI2,0.8772293985888966,0.5339693699865298,True,True,110,60.236731016426354
OXR1,0.6991367773085732,0.7744666962124969,False,True,109,66.30838000370557
RTN1,0.7892604897482539,0.8668010900599595,True,True,108,67.30117251281405
DMBT1,0.8979694305750358,0.6624148009000536,True,True,108,65.78397909082739
AACS,0.6613969486271143,0.7948630013697947,False,True,107,66.5751545312342
TNFSF13,0.7034167700020085,0.8072814039550882,False,True,107,64.52663966819439
CBS,0.6916270753855077,0.7726466474996836,False,True,107,62.4915654680302
SLC31A2,0.7016702825266328,0.8176002209915492,False,True,106,65.09351752588955
RNF128,0.7460996100307786,0.7581437505650334,True,True,106,64.48176029023179
ELF5,0.6829993952680042,0.755421943833403,False,True,106,63.175962189169766
SLAIN1,0.7242067230577548,0.6921640762066286,False,True,105,63.075297566461295
ROPN1,0.7598283585228264,0.6404179889805266,False,True,105,61.31031227143233
SEC63,0.7117788451089644,0.7019741295442637,False,True,104,61.608879179029984
SAP30BP,0.7732743690505282,0.8291425673580167,False,True,104,61.587379784426155
CADM1,0.8381455781699342,0.5330437090769568,False,True,104,57.63916629831937
SLC39A8,0.8231046994023109,0.5675302020775409,False,True,104,56.81160422655087
CRISP3,0.7466360503876379,0.5720668684286992,False,True,102,58.816377493769224
GPAT2,0.7851823513122937,0.7489212345370423,False,True,102,57.45484953028495
MGLL,0.720822984528787,0.9051586241418346,False,True,101,63.179005579524826
FOLR1,0.6924944972190739,0.8096909423638317,False,True,101,61.097722114224894
SRPRA,0.7929954295088026,0.5923397205224397,False,True,100,58.52902834486207
NDRG2,0.8394012384499747,0.5639681981353128,False,True,99,59.15603784129313
C2orf88,0.746674698360248,0.7240055478493563,False,True,99,56.292964151859636
MGAM2,0.8435740509155487,0.4967050534638702,False,True,98,56.88271119872427
SLC25A48,0.7795261208983385,0.630439130915586,False,True,97,54.219816648336014
PRSS8,0.6350137138782457,0.7525117980003361,False,True,96,58.503734530804174
OGFRL1,0.7084983473061448,0.662318100888507,False,True,96,57.43142952982186
PIGR,0.7462822278638449,0.6023939111262029,False,True,96,55.7440144628355
TMPRSS5,0.7938517664745626,0.5274759947474671,False,True,96,52.09440922190256
AGFG2,0.7351397368342325,0.4932646542680741,False,True,95,51.11698809404864
C6orf58,0.7775627938403745,0.6599611651401415,False,True,94,56.77639783328332
DYNC1I1,0.7790209605860999,0.6557854075801167,False,True,94,54.22120605253474
PLCB1,0.7928775193918977,0.67029049898384,True,True,94,52.74415811021869
CD46,0.6362727396138677,0.6955594255209119,False,True,93,55.502663346860786
TMEM63A,0.6528538273904798,0.6276166001008417,False,True,92,54.00743296682204
LRP6,0.7498315457394512,0.6636444974795883,False,True,92,53.96707829075488
LIMCH1,0.7462848908074979,0.7870355669267208,False,True,91,54.992148383674404
SSR3,0.7127440329187085,0.710634317221163,False,True,90,51.88081169400502
DLX6-AS1,0.805335854345303,0.5722027311930413,False,True,89,50.25245452953107
KANK4,0.7821940552297442,0.7775308369252558,False,True,88,54.069697584667615
GRIA2,0.8367253712611339,0.5002979508964851,True,True,88,50.805375645080055
GATM,0.8072084203148588,0.42621234057472446,False,True,86,46.11387693717331
RASAL1,0.7064025689588715,0.5785283049246408,False,True,85,47.81554244324199
CEACAM1,0.7142532613920376,0.5575112668488391,False,True,84,46.18870106666406
LTF,0.8911720342530809,0.542971876594511,False,True,83,50.285652593278094
CLDN10-AS1,0.7456034597520416,0.46863230684291507,False,True,83,45.10354320737477
TBC1D24,0.7688809564831813,0.48492143107802066,False,True,83,44.11143405251774
ZG16B,0.7967406588414371,0.6340343459001219,False,True,81,49.5873292987017
FDCSP,0.762916864515188,0.7566310718241677,False,True,81,46.88541156161056
MUC7,0.7548679672948305,0.601400104957625,False,True,81,46.32698266323569
KIRREL3,0.7272236919015432,0.6921394493828504,False,True,80,44.48097451016857
PIP,0.7684417618806209,0.5549175602272227,False,True,79,47.16241977366985
HP,0.7525476878420919,0.7213124729366817,True,True,78,43.53080306482748
HID1,0.7721726706807448,0.4440253191575001,False,True,78,42.3717026050588
LINC01554,0.6807131383690516,0.6940994584362006,False,True,77,46.23127418089407
SERP1,0.638700955436731,0.6775413057319601,False,True,77,45.2341266871862
ID4,0.7371907861803625,0.692478598657112,False,True,77,43.89134752027126
CES3,0.6470790015793925,0.7336040856570766,False,True,76,44.157156264259285
GNPTAB,0.7202573538630153,0.5413069695759368,False,True,76,40.9626255983521
PKDCC,0.7310099843319192,0.7063628246962185,True,True,75,42.047559295541205
OXGR1,0.7065772495469692,0.5816664069940054,False,True,74,42.48931125681959
BHLHA15,0.6864338096016992,0.7316440810030077,False,True,73,42.8418362219416
TNFRSF11A,0.7210004652392364,0.6969379281366987,False,True,73,42.71033901581074
SMAD9,0.743591450185382,0.6930507843558,True,True,73,40.338654159892585
ARHGEF37,0.687830606839793,0.49516129443944157,False,True,73,39.82798291514723
DLK1,0.6736598143613449,0.49194581362996187,False,True,73,37.96319771024883
CRISP2,0.6364548010327941,0.7780540444213362,False,True,72,42.802623107144086
PLA2R1,0.6684391314887088,0.8142231181762566,False,True,71,43.009103438024454
EPHA7,0.7007706166511566,0.663256343521582,False,True,70,38.83739849335691
AIF1L,0.8092216213082344,0.441041113761467,False,True,69,36.48792599484648
ABCA3,0.7355354842502064,0.5254876787218627,False,True,68,35.65127364600867
SOX9,0.6286334702093744,0.7410783754953769,False,True,67,41.032241398888985
FBP1,0.6726861827665195,0.5923086006025484,False,True,65,36.324680182564414
CADPS2,0.7188138159311511,0.5003802605875852,False,True,63,36.25258239793308
SNPH,0.7655800037210092,0.4341024515409628,False,True,63,34.06475021318975
GPD1,0.7284299361943024,0.41821659413181933,False,True,63,33.26399772747766
RAPGEF3,0.7980446133958697,0.5203915680627823,False,True,63,32.708562750194226
STATH,0.8399720399958506,0.4190148289700708,True,True,62,37.212445533485756
ALDH9A1,0.6344101602221291,0.717471687828188,False,True,62,35.24905550107732
CHPT1,0.7279863887633561,0.6440849103071264,False,True,61,34.01259820454605
IRX2,0.6343608718356935,0.7058313905034209,False,True,60,34.99213225873969
C3orf70,0.7312361415410056,0.5496967597311466,False,True,60,32.49627156936701
DTNB,0.7658579531049501,0.3859775567178462,False,True,60,31.77623181549285
MAPT,0.6752475814854296,0.587210614072136,False,True,60,31.225517779353865
GLYATL2,0.6882543446343384,0.33002991361430933,False,True,59,31.903159893716147
ALDH1L2,0.6687194406784239,0.6577015557138226,False,True,58,31.898178000028388
TMED3,0.67654491567868,0.4870928302536606,False,True,57,30.48155549387209
ADGRG6,0.7160466768343127,0.6864795468074004,True,True,55,31.812659021797746
TRIL,0.6877265071968673,0.6664937851797432,False,True,55,31.274345182302568
FREM3,0.6495273810263564,0.5502461167817815,False,True,55,29.231821255249475
ANO5,0.689762337179965,0.42386804838932196,False,True,55,28.60976992146537
TTYH1,0.691351597174747,0.5756242468875972,False,True,50,27.949319627772326
ST3GAL1,0.7043387048716652,0.6021315888214069,False,True,49,27.14960799964512
FAM171B,0.6291289903719803,0.7033464443329599,False,True,48,26.582634720370432
CEP85L,0.6400724249453478,0.5143178194274998,False,True,48,25.964684725782696
ITGA6,0.6461145286976887,0.6694686612340488,False,True,47,27.858675432477504
XBP1,0.6306140721734615,0.6939558741710139,False,True,47,24.414394095540047
SOX8,0.6673719720660471,0.7860701713438742,False,True,46,27.102558039067617
NPY5R,0.6908185935391535,0.7281687597582938,False,True,46,25.192799163849852
SLC43A1,0.7044459691178983,0.6579787411219407,False,True,46,24.622379819932874
NPY1R,0.7320791407576936,0.5564022176216129,True,True,46,24.180308188804158
SH3BP4,0.6937810874846819,0.3980782050116701,False,True,46,23.517656957797556
