network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,AHR,-2.2786246787254534,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,AHR,-2.8340971582371517,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,AHR,0.389519716618426,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,AHR,-2.487947805061143,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
CollecTRI,HC_5|Healthy|Ethmoid|Serous_glandular,AHR,0.07460136115150773,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
CollecTRI,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,AHR,0.3882689636508154,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
CollecTRI,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,AHR,0.6247787613903715,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
CollecTRI,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,AHR,1.481120058793716,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
CollecTRI,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,AHR,3.2658059374465895,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
CollecTRI,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,AHR,-1.080787363841454,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
CollecTRI,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,AHR,-8.979203455887514,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
CollecTRI,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,AHR,-0.46444024572844694,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
CollecTRI,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,AHR,0.6170145469476341,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
CollecTRI,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,AHR,-0.38689696851580413,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
CollecTRI,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,AHR,2.626952616878989,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
CollecTRI,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,AHR,1.0028301444664798,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
CollecTRI,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,AHR,3.8626172106861367,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
CollecTRI,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,AHR,3.539777473647461,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
CollecTRI,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,AHR,2.247809009706586,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
CollecTRI,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,AHR,-1.609098125387764,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,AP1,-3.6120654942946118,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,AP1,-5.098625969495627,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,AP1,-0.4716261092873657,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,AP1,-5.8080443690245875,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
CollecTRI,HC_5|Healthy|Ethmoid|Serous_glandular,AP1,-0.014011883913345556,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
CollecTRI,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,AP1,-0.6689963496455859,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
CollecTRI,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,AP1,-2.2542838022868983,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
CollecTRI,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,AP1,4.198189534940712,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
CollecTRI,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,AP1,7.04792448532358,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
CollecTRI,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,AP1,0.02672319599478769,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
CollecTRI,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,AP1,-15.48397069475171,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
CollecTRI,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,AP1,-1.28862257714939,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
CollecTRI,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,AP1,2.4886404660882318,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
CollecTRI,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,AP1,-3.4439733353363797,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
CollecTRI,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,AP1,4.989023405290162,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
CollecTRI,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,AP1,2.6069306970344495,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
CollecTRI,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,AP1,6.605375478236983,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
CollecTRI,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,AP1,7.766725745012247,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
CollecTRI,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,AP1,4.4489860653682385,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
CollecTRI,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,AP1,-2.034298488103904,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,APEX1,-1.3903288598477594,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,APEX1,-1.4436436418451357,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,APEX1,0.12716970835486116,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,APEX1,-0.43128798806651675,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
