network,source,n_targets_measured_GSE235711,weight_l2_GSE235711,n_targets_measured_GSE276503,weight_l2_GSE276503
CollecTRI,AHR,194,13.92838827718412,161,12.68857754044952
CollecTRI,AP1,587,24.228082879171435,491,22.15851980616034
CollecTRI,APEX1,42,6.48074069840786,37,6.082762530298219
CollecTRI,AR,504,22.44994432064365,441,21.0
CollecTRI,ARNT,69,8.306623862918075,58,7.615773105863909
CollecTRI,ASCL1,71,8.426149773176359,53,7.280109889280518
CollecTRI,ATF1,85,9.219544457292887,70,8.366600265340756
CollecTRI,ATF2,119,10.908712114635714,102,10.099504938362077
CollecTRI,ATF3,109,10.44030650891055,99,9.9498743710662
CollecTRI,ATF4,123,11.090536506409418,108,10.392304845413264
CollecTRI,ATF5,31,5.5677643628300215,30,5.477225575051661
CollecTRI,ATF6,57,7.54983443527075,50,7.0710678118654755
CollecTRI,BCL11B,25,5.0,23,4.795831523312719
CollecTRI,BCL3,29,5.385164807134504,29,5.385164807134504
CollecTRI,BCL6,100,10.0,86,9.273618495495704
CollecTRI,BHLHE40,42,6.48074069840786,37,6.082762530298219
CollecTRI,BHLHE41,28,5.291502622129181,21,4.58257569495584
CollecTRI,BMAL1,57,7.54983443527075,48,6.928203230275509
CollecTRI,BRCA1,61,7.810249675906654,58,7.615773105863909
CollecTRI,CDX1,44,6.6332495807108,27,5.196152422706632
CollecTRI,CDX2,78,8.831760866327848,50,7.0710678118654755
CollecTRI,CEBPA,233,15.264337522473747,184,13.564659966250536
CollecTRI,CEBPB,446,21.118712081942874,373,19.313207915827967
CollecTRI,CEBPD,95,9.746794344808963,78,8.831760866327848
CollecTRI,CEBPE,37,6.082762530298219,31,5.5677643628300215
CollecTRI,CEBPG,205,14.317821063276353,160,12.649110640673518
CollecTRI,CIITA,30,5.477225575051661,28,5.291502622129181
CollecTRI,CLOCK,66,8.12403840463596,57,7.54983443527075
CollecTRI,CREB1,457,21.37755832643195,382,19.544820285692065
CollecTRI,CREBBP,36,6.0,31,5.5677643628300215
CollecTRI,CREM,88,9.38083151964686,67,8.18535277187245
CollecTRI,CRX,31,5.5677643628300215,21,4.58257569495584
CollecTRI,CTCF,143,11.958260743101398,128,11.313708498984761
CollecTRI,CTNNB1,335,18.303005217723125,284,16.852299546352718
CollecTRI,CUX1,108,10.392304845413264,100,10.0
CollecTRI,CXXC1,21,4.58257569495584,20,4.47213595499958
CollecTRI,DBP,35,5.916079783099616,30,5.477225575051661
CollecTRI,DDIT3,99,9.9498743710662,85,9.219544457292887
CollecTRI,DLX4,43,6.557438524302,37,6.082762530298219
CollecTRI,DLX5,38,6.164414002968976,30,5.477225575051661
CollecTRI,DNMT1,185,13.601470508735444,157,12.529964086141668
CollecTRI,DNMT3A,61,7.810249675906654,50,7.0710678118654755
CollecTRI,DNMT3B,71,8.426149773176359,62,7.874007874011811
CollecTRI,E2F1,311,17.635192088548397,300,17.320508075688775
CollecTRI,E2F2,50,7.0710678118654755,49,7.0
CollecTRI,E2F3,68,8.246211251235321,67,8.18535277187245
CollecTRI,E2F4,161,12.68857754044952,160,12.649110640673518
CollecTRI,E2F6,40,6.324555320336759,37,6.082762530298219
CollecTRI,EBF1,34,5.830951894845301,28,5.291502622129181
CollecTRI,EGR1,359,18.947295321496416,320,17.88854381999832
CollecTRI,EGR2,73,8.54400374531753,66,8.12403840463596
CollecTRI,EGR3,32,5.656854249492381,28,5.291502622129181
CollecTRI,ELF1,79,8.888194417315589,70,8.366600265340756
CollecTRI,ELF3,33,5.744562646538029,26,5.0990195135927845
CollecTRI,ELF4,51,7.14142842854285,39,6.244997998398398
CollecTRI,ELK1,59,7.681145747868608,56,7.483314773547883
CollecTRI,ELK3,28,5.291502622129181,23,4.795831523312719
CollecTRI,EOMES,26,5.0990195135927845,20,4.47213595499958
CollecTRI,EP300,74,8.602325267042627,61,7.810249675906654
CollecTRI,EPAS1,92,9.591663046625438,84,9.16515138991168
CollecTRI,ERG,57,7.54983443527075,56,7.483314773547883
CollecTRI,ESR1,619,24.879710609249457,538,23.194827009486403
CollecTRI,ESR2,206,14.352700094407323,181,13.45362404707371
CollecTRI,ESRRA,49,7.0,37,6.082762530298219
CollecTRI,ETS1,230,15.165750888103101,207,14.38749456993816
CollecTRI,ETS2,111,10.535653752852738,100,10.0
CollecTRI,ETV1,22,4.69041575982343,20,4.47213595499958
CollecTRI,ETV4,66,8.12403840463596,58,7.615773105863909
CollecTRI,ETV6,27,5.196152422706632,23,4.795831523312719
CollecTRI,EWSR1,59,7.681145747868608,53,7.280109889280518
CollecTRI,EZH2,155,12.449899597988733,128,11.313708498984761
CollecTRI,FLI1,94,9.695359714832659,83,9.1104335791443
CollecTRI,FOS,338,18.384776310850235,281,16.76305461424021
CollecTRI,FOSB,38,6.164414002968976,37,6.082762530298219
CollecTRI,FOSL1,51,7.14142842854285,48,6.928203230275509
CollecTRI,FOSL2,42,6.48074069840786,32,5.656854249492381
CollecTRI,FOXA1,70,8.366600265340756,45,6.708203932499369
CollecTRI,FOXA2,134,11.575836902790225,84,9.16515138991168
CollecTRI,FOXM1,97,9.848857801796104,78,8.831760866327848
CollecTRI,FOXN1,56,7.483314773547883,44,6.6332495807108
CollecTRI,FOXO1,275,16.583123951777,234,15.297058540778355
CollecTRI,FOXO3,195,13.96424004376894,185,13.601470508735444
CollecTRI,FOXO4,31,5.5677643628300215,26,5.0990195135927845
CollecTRI,FOXP1,33,5.744562646538029,21,4.58257569495584
CollecTRI,FOXP3,52,7.211102550927978,45,6.708203932499369
CollecTRI,GABPA,48,6.928203230275509,44,6.6332495807108
CollecTRI,GATA1,148,12.165525060596439,110,10.488088481701515
CollecTRI,GATA2,106,10.295630140987,80,8.94427190999916
CollecTRI,GATA3,190,13.784048752090222,165,12.84523257866513
CollecTRI,GATA4,140,11.832159566199232,97,9.848857801796104
CollecTRI,GATA6,87,9.327379053088816,65,8.06225774829855
CollecTRI,GFI1,55,7.416198487095663,49,7.0
CollecTRI,GLI1,175,13.228756555322953,156,12.489995996796797
CollecTRI,GLI2,149,12.206555615733702,133,11.532562594670797
CollecTRI,GLI3,44,6.6332495807108,36,6.0
CollecTRI,GRHL3,29,5.385164807134504,23,4.795831523312719
CollecTRI,GTF2I,23,4.795831523312719,23,4.795831523312719
CollecTRI,GTF3A,27,5.196152422706632,23,4.795831523312719
CollecTRI,HAND2,41,6.4031242374328485,24,4.898979485566356
CollecTRI,HBP1,45,6.708203932499369,45,6.708203932499369
