network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,Androgen,-0.8512550149693755,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,Androgen,-2.2845154452146526,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,Androgen,-0.515829544532244,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,Androgen,-1.9601939824264296,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,Androgen,-0.44195535076056436,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,Androgen,2.1283292576147663,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,Androgen,0.6423826508845323,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,Androgen,-1.158834237155638,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,Androgen,3.108334192496876,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,Androgen,0.5530301676072796,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,Androgen,-5.659427708259168,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,Androgen,0.3523923518620931,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,Androgen,1.1885222234888984,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,Androgen,-1.0485989549510941,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
