train_dataset,test_dataset,truth,predicted,fraction
GSE235711,GSE276503,Ambiguous_secretory,Ambiguous_secretory,0.035247524752475244
GSE235711,GSE276503,Ambiguous_secretory,Goblet,0.010297029702970298
GSE235711,GSE276503,Ambiguous_secretory,Inflammatory_secretory,0.16
GSE235711,GSE276503,Ambiguous_secretory,Mucous_glandular,0.032475247524752476
GSE235711,GSE276503,Ambiguous_secretory,Serous_glandular,0.2384158415841584
GSE235711,GSE276503,Ambiguous_secretory,Surface_club,0.041584158415841586
GSE235711,GSE276503,Ambiguous_secretory,Transitional_secretory,0.48198019801980196
GSE235711,GSE276503,Goblet,Ambiguous_secretory,0.0451505016722408
GSE235711,GSE276503,Goblet,Goblet,0.10535117056856187
GSE235711,GSE276503,Goblet,Inflammatory_secretory,0.01839464882943144
GSE235711,GSE276503,Goblet,Mucous_glandular,0.08862876254180602
GSE235711,GSE276503,Goblet,Serous_glandular,0.5183946488294314
GSE235711,GSE276503,Goblet,Surface_club,0.043478260869565216
GSE235711,GSE276503,Goblet,Transitional_secretory,0.1806020066889632
GSE235711,GSE276503,Inflammatory_secretory,Ambiguous_secretory,0.012002743484224965
GSE235711,GSE276503,Inflammatory_secretory,Goblet,0.0003429355281207133
GSE235711,GSE276503,Inflammatory_secretory,Inflammatory_secretory,0.5305212620027435
GSE235711,GSE276503,Inflammatory_secretory,Mucous_glandular,0.0
GSE235711,GSE276503,Inflammatory_secretory,Serous_glandular,0.15157750342935528
GSE235711,GSE276503,Inflammatory_secretory,Surface_club,0.0102880658436214
GSE235711,GSE276503,Inflammatory_secretory,Transitional_secretory,0.2952674897119342
GSE235711,GSE276503,Mucous_glandular,Ambiguous_secretory,0.04592901878914405
GSE235711,GSE276503,Mucous_glandular,Goblet,0.025052192066805846
GSE235711,GSE276503,Mucous_glandular,Inflammatory_secretory,0.0020876826722338203
GSE235711,GSE276503,Mucous_glandular,Mucous_glandular,0.49373695198329853
GSE235711,GSE276503,Mucous_glandular,Serous_glandular,0.20250521920668058
GSE235711,GSE276503,Mucous_glandular,Surface_club,0.020876826722338204
GSE235711,GSE276503,Mucous_glandular,Transitional_secretory,0.20981210855949894
GSE235711,GSE276503,Serous_glandular,Ambiguous_secretory,0.016106366879256297
GSE235711,GSE276503,Serous_glandular,Goblet,0.005512917522430007
GSE235711,GSE276503,Serous_glandular,Inflammatory_secretory,0.030375094584369256
GSE235711,GSE276503,Serous_glandular,Mucous_glandular,0.013836342017079235
GSE235711,GSE276503,Serous_glandular,Serous_glandular,0.8173170468057507
GSE235711,GSE276503,Serous_glandular,Surface_club,0.01772781320938277
GSE235711,GSE276503,Serous_glandular,Transitional_secretory,0.0991244189817317
GSE235711,GSE276503,Surface_club,Ambiguous_secretory,0.1210762331838565
GSE235711,GSE276503,Surface_club,Goblet,0.0
GSE235711,GSE276503,Surface_club,Inflammatory_secretory,0.008968609865470852
GSE235711,GSE276503,Surface_club,Mucous_glandular,0.0
GSE235711,GSE276503,Surface_club,Serous_glandular,0.4484304932735426
GSE235711,GSE276503,Surface_club,Surface_club,0.11659192825112108
GSE235711,GSE276503,Surface_club,Transitional_secretory,0.30493273542600896
GSE235711,GSE276503,Transitional_secretory,Ambiguous_secretory,0.011939506500397984
GSE235711,GSE276503,Transitional_secretory,Goblet,0.0
GSE235711,GSE276503,Transitional_secretory,Inflammatory_secretory,0.13597771292119926
GSE235711,GSE276503,Transitional_secretory,Mucous_glandular,0.0
GSE235711,GSE276503,Transitional_secretory,Serous_glandular,0.07336163438577872
GSE235711,GSE276503,Transitional_secretory,Surface_club,0.006102414433536747
GSE235711,GSE276503,Transitional_secretory,Transitional_secretory,0.7726187317590872
GSE276503,GSE235711,Ambiguous_secretory,Ambiguous_secretory,0.05416248746238716
GSE276503,GSE235711,Ambiguous_secretory,Goblet,0.006018054162487462
GSE276503,GSE235711,Ambiguous_secretory,Inflammatory_secretory,0.05115346038114343
GSE276503,GSE235711,Ambiguous_secretory,Mucous_glandular,0.0050150451354062184
GSE276503,GSE235711,Ambiguous_secretory,Serous_glandular,0.4493480441323972
GSE276503,GSE235711,Ambiguous_secretory,Surface_club,0.0010030090270812437
