gene,role
A2M,pseudobulk_variable
A4GALT,pseudobulk_variable
AAK1,pseudobulk_variable
AAMDC,pseudobulk_variable
AAMP,pseudobulk_variable
AARSD1,pseudobulk_variable
AASDHPPT,pseudobulk_variable
AASS,pseudobulk_variable
ABCA13,pseudobulk_variable
ABCA5,pseudobulk_variable
ABCA7,pseudobulk_variable
ABCB6,pseudobulk_variable
ABCC5,pseudobulk_variable
ABCD3,pseudobulk_variable
ABCF1,pseudobulk_variable
ABCG1,pseudobulk_variable
ABHD11,pseudobulk_variable
ABHD14B,pseudobulk_variable
ABHD16A,pseudobulk_variable
ABHD17C,pseudobulk_variable
ABHD2,pseudobulk_variable
ABHD5,pseudobulk_variable
ABI1,pseudobulk_variable
ABI2,pseudobulk_variable
ABL2,pseudobulk_variable
ABLIM1,pseudobulk_variable
ABO,pseudobulk_variable
ABRACL,pseudobulk_variable
AC004832.3,pseudobulk_variable
AC004922.1,pseudobulk_variable
AC005261.1,pseudobulk_variable
AC005520.1,pseudobulk_variable
AC005943.1,pseudobulk_variable
AC006064.6,pseudobulk_variable
AC007192.1,pseudobulk_variable
AC007906.2,pseudobulk_variable
AC008575.1,pseudobulk_variable
AC008763.2,pseudobulk_variable
AC008763.3,pseudobulk_variable
AC008982.1,pseudobulk_variable
AC009133.6,pseudobulk_variable
AC009779.3,pseudobulk_variable
AC010132.3,pseudobulk_variable
AC010323.1,pseudobulk_variable
AC010422.3,pseudobulk_variable
AC011448.1,pseudobulk_variable
AC011462.1,pseudobulk_variable
AC011479.1,pseudobulk_variable
AC012254.2,pseudobulk_variable
AC013394.1,pseudobulk_variable
AC015802.6,pseudobulk_variable
AC015813.2,pseudobulk_variable
AC018523.2,pseudobulk_variable
AC018630.2,pseudobulk_variable
AC019117.3,pseudobulk_variable
AC020656.1,pseudobulk_variable
AC020916.1,pseudobulk_variable
AC022167.2,pseudobulk_variable
AC023055.1,pseudobulk_variable
AC024592.3,pseudobulk_variable
AC025154.2,pseudobulk_variable
AC025165.3,pseudobulk_variable
AC025259.3,pseudobulk_variable
AC026954.2,pseudobulk_variable
AC027644.4,pseudobulk_variable
AC036214.3,pseudobulk_variable
AC040162.1,pseudobulk_variable
AC040162.3,pseudobulk_variable
AC046185.1,pseudobulk_variable
AC048338.1,pseudobulk_variable
AC068547.1,pseudobulk_variable
AC068631.2,pseudobulk_variable
AC068946.2,pseudobulk_variable
AC069503.2,pseudobulk_variable
AC073283.3,pseudobulk_variable
AC073508.2,pseudobulk_variable
AC073610.2,pseudobulk_variable
AC073896.1,pseudobulk_variable
AC078927.1,pseudobulk_variable
AC087289.3,pseudobulk_variable
AC091167.2,pseudobulk_variable
AC091959.3,pseudobulk_variable
AC092143.1,pseudobulk_variable
AC092647.5,pseudobulk_variable
AC093484.3,pseudobulk_variable
AC093512.2,pseudobulk_variable
AC093525.2,pseudobulk_variable
AC097376.2,pseudobulk_variable
AC099329.1,pseudobulk_variable
AC104109.3,pseudobulk_variable
AC104452.1,pseudobulk_variable
AC106886.5,pseudobulk_variable
AC107871.1,pseudobulk_variable
AC114490.2,pseudobulk_variable
AC116366.3,pseudobulk_variable
AC118553.2,pseudobulk_variable
AC119674.2,pseudobulk_variable
AC120057.2,pseudobulk_variable
AC124312.1,pseudobulk_variable
AC126283.2,pseudobulk_variable
AC135050.2,pseudobulk_variable
AC135178.3,pseudobulk_variable
AC138811.2,pseudobulk_variable
AC138894.1,pseudobulk_variable
AC244197.3,pseudobulk_variable
AC245033.1,pseudobulk_variable
AC245297.3,pseudobulk_variable
ACAA1,pseudobulk_variable
ACAD11,pseudobulk_variable
ACADM,pseudobulk_variable
ACAP2,pseudobulk_variable
ACAT1,pseudobulk_variable
ACAT2,pseudobulk_variable
ACBD3,pseudobulk_variable
ACIN1,pseudobulk_variable
ACKR1,pseudobulk_variable
ACKR3,pseudobulk_variable
ACLY,pseudobulk_variable
ACO2,pseudobulk_variable
ACOT13,pseudobulk_variable
ACOX1,pseudobulk_variable
ACP1,pseudobulk_variable
ACP2,pseudobulk_variable
ACSL1,pseudobulk_variable
ACSL3,pseudobulk_variable
ACSL4,pseudobulk_variable
ACTA2,pseudobulk_variable
ACTN1,pseudobulk_variable
ACTN4,pseudobulk_variable
ACTR10,pseudobulk_variable
ACTR1B,pseudobulk_variable
ACTR2,pseudobulk_variable
ACTR3,pseudobulk_variable
ACTR6,pseudobulk_variable
ACY1,pseudobulk_variable
ADAM10,pseudobulk_variable
ADAM15,pseudobulk_variable
ADAM17,pseudobulk_variable
ADAM28,pseudobulk_variable
ADAM9,pseudobulk_variable
ADAMTS1,pseudobulk_variable
ADAR,pseudobulk_variable
ADD3,pseudobulk_variable
ADGRE5,pseudobulk_variable
ADGRF1,pseudobulk_variable
ADGRG1,pseudobulk_variable
ADGRG6,required
ADH1C,pseudobulk_variable
ADH5,pseudobulk_variable
ADH7,pseudobulk_variable
ADI1,pseudobulk_variable
ADIPOR1,pseudobulk_variable
ADIPOR2,pseudobulk_variable
ADIRF,pseudobulk_variable
ADM,pseudobulk_variable
ADNP,pseudobulk_variable
ADNP2,pseudobulk_variable
ADORA2B,pseudobulk_variable
ADRA2A,pseudobulk_variable
ADRB2,pseudobulk_variable
ADRM1,pseudobulk_variable
ADSL,pseudobulk_variable
ADSS,pseudobulk_variable
AEBP1,pseudobulk_variable
AEBP2,pseudobulk_variable
AFDN,pseudobulk_variable
AFF1,pseudobulk_variable
AFF4,pseudobulk_variable
AFG3L2,pseudobulk_variable
AFTPH,pseudobulk_variable
AGAP3,pseudobulk_variable
AGFG1,pseudobulk_variable
AGL,pseudobulk_variable
AGO2,pseudobulk_variable
AGPAT2,pseudobulk_variable
AGPAT3,pseudobulk_variable
AGR2,required
AGR3,pseudobulk_variable
AGRN,pseudobulk_variable
AHCTF1,pseudobulk_variable
AHCY,pseudobulk_variable
AHCYL1,pseudobulk_variable
AHDC1,pseudobulk_variable
AHI1,pseudobulk_variable
AHNAK2,pseudobulk_variable
AHR,pseudobulk_variable
AHSA1,pseudobulk_variable
AIG1,pseudobulk_variable
AIMP1,pseudobulk_variable
AK1,pseudobulk_variable
AK2,pseudobulk_variable
AK3,pseudobulk_variable
AK6,pseudobulk_variable
AK9,pseudobulk_variable
AKAP1,pseudobulk_variable
AKAP12,pseudobulk_variable
AKAP13,pseudobulk_variable
AKAP8,pseudobulk_variable
AKAP8L,pseudobulk_variable
AKAP9,pseudobulk_variable
AKIRIN1,pseudobulk_variable
AKIRIN2,pseudobulk_variable
AKR1A1,pseudobulk_variable
AKR1B1,pseudobulk_variable
AKR1C1,pseudobulk_variable
AKR1C2,pseudobulk_variable
AKR1C3,pseudobulk_variable
AKR7A2,pseudobulk_variable
AKT1,pseudobulk_variable
AKT2,pseudobulk_variable
AL022238.4,pseudobulk_variable
AL034430.1,pseudobulk_variable
AL035078.4,pseudobulk_variable
AL049629.2,pseudobulk_variable
AL049839.2,pseudobulk_variable
AL109811.3,pseudobulk_variable
AL118516.1,pseudobulk_variable
AL121594.1,pseudobulk_variable
AL121758.1,pseudobulk_variable
AL121845.3,pseudobulk_variable
AL132780.3,pseudobulk_variable
AL133352.1,pseudobulk_variable
AL136295.1,pseudobulk_variable
AL136295.4,pseudobulk_variable
AL136295.5,pseudobulk_variable
AL138752.2,pseudobulk_variable
AL139011.2,pseudobulk_variable
AL139260.3,pseudobulk_variable
AL139300.1,pseudobulk_variable
AL157935.2,pseudobulk_variable
AL163636.2,pseudobulk_variable
AL355075.4,pseudobulk_variable
AL357093.2,pseudobulk_variable
AL358075.4,pseudobulk_variable
AL358113.1,pseudobulk_variable
AL360181.3,pseudobulk_variable
AL365205.1,pseudobulk_variable
AL513165.2,pseudobulk_variable
AL645608.5,pseudobulk_variable
