dataset,sample,cells_retained_balanced
GSE235711,GSM7508289_Control_1,858
GSE235711,GSM7508290_Control_2,596
GSE235711,GSM7508291_Control_3,658
GSE235711,GSM7508292_Control_4,525
GSE235711,GSM7508293_Control_5,319
GSE235711,GSM7508294_CRSsNP_Eth_1,1406
GSE235711,GSM7508295_CRSsNP_Eth_2,659
GSE235711,GSM7508296_CRSsNP_Eth_3,567
GSE235711,GSM7508297_CRSsNP_Eth_4,828
GSE235711,GSM7508298_CRSsNP_Eth_5,66
GSE235711,GSM7508299_CRSwNP_Eth_1,128
GSE235711,GSM7508300_CRSwNP_Eth_2,124
GSE235711,GSM7508301_CRSwNP_Eth_3,757
GSE235711,GSM7508302_CRSwNP_Eth_6,201
GSE235711,GSM7508303_CRSwNP_NP_1,894
GSE235711,GSM7508304_CRSwNP_NP_2,427
GSE235711,GSM7508305_CRSwNP_NP_3,1241
GSE235711,GSM7508306_CRSwNP_NP_4,509
GSE235711,GSM7508307_CRSwNP_NP_5,989
GSE235711,GSM7508308_CRSwNP_NP_6,355
GSE276503,HCIT01,866
GSE276503,HCIT02,886
GSE276503,CRSIT12,1083
GSE276503,CRSIT13,963
GSE276503,CRSIT16,668
GSE276503,CRSIT17,615
GSE276503,CRSIT18,572
GSE276503,CRSIT19,565
GSE276503,CRSMT21,662
GSE276503,CRSMT23,294
GSE276503,CRSMT24,182
GSE276503,CRSMT25,651
GSE276503,CRSMT26,640
GSE276503,CRSMT27,643
GSE276503,CRSNP31,789
GSE276503,CRSNP32,783
GSE276503,CRSNP33,944
GSE276503,CRSNP34,919
GSE276503,CRSNP35,1181
GSE276503,CRSNP36,1145
GSE276503,CRSNP37,1246
GSE276503,CRSNP38,1367
GSE276503,CRSNP39,644
GSE276503,CRSNP40,681
GSE276503,CRSNP41,1315
GSE276503,CRSNP42,1295
GSE276503,CRSNP43,810
GSE276503,CRSNP44,804
GSE276503,CRSNP45,796
