library,direction,term,overlap,query_size,term_size,p,genes,fdr
GO_BP_2025,down,Metal Ion Transport (GO:0030001),11,335,105,1.7175020796023114e-05,ATP2A3;CACNA2D1;CACNB4;CAV1;CCL5;KCNAB1;KCNC4;KCNMA1;KCNN4;RYR3;SLC5A1,0.004542755645140118
GO_BP_2025,down,Macrophage Chemotaxis (GO:0048246),4,335,10,4.1173011889487476e-05,CCL2;CCL5;EDNRB;SFTPD,0.004542755645140118
GO_BP_2025,down,Macrophage Migration (GO:1905517),4,335,10,4.1173011889487476e-05,CCL2;CCL5;EDNRB;SFTPD,0.004542755645140118
GO_BP_2025,down,Antimicrobial Humoral Response (GO:0019730),8,335,64,6.926619876432212e-05,CCL2;CCL28;CCL5;CXCL12;CXCL5;DMBT1;TF;TSLP,0.005731777947747656
GO_BP_2025,down,Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844),7,335,52,0.0001226772660736304,CCL2;CCL28;CCL5;CXCL12;CXCL5;DMBT1;TSLP,0.008121235014074333
GO_BP_2025,down,Regulation of Calcium Ion Import (GO:0090279),4,335,16,0.00032185113347076933,CCL2;CXCL12;EGF;KCNN4,0.01704694236487005
GO_BP_2025,down,Regulation of Vasculature Development (GO:1901342),5,335,29,0.0003605093551483092,CXCL12;ETS1;PDE3B;RAPGEF3;SFRP1,0.01704694236487005
GO_BP_2025,down,cAMP-mediated Signaling (GO:0019933),4,335,18,0.0005228908545069284,CGAS;PDE11A;PDE3B;PDE4B,0.019230763649088142
GO_BP_2025,down,Cardiac Epithelial to Mesenchymal Transition (GO:0060317),4,335,18,0.0005228908545069284,HAS2;OLFM1;TBX3;TGFBR3,0.019230763649088142
GO_BP_2025,down,Positive Regulation of Multicellular Organismal Process (GO:0051240),16,335,296,0.0007676785283469323,CADM1;CAV1;CXCL12;EGF;FOXC1;GATM;LDLR;LOXL2;OLFM1;PLA2R1;PLCB1;PRLR;PTH2R;SMOX;SOX8;ZBED3,0.02541015928828346
GO_BP_2025,down,Intracellular Monoatomic Cation Homeostasis (GO:0030003),10,335,143,0.0011267408505295181,ATP2A3;CAV1;CCL5;CXCL12;KCNMA1;MYC;SLC22A17;SLC39A8;SMAD9;TF,0.028638676390447627
GO_BP_2025,down,Calcium Ion Transport (GO:0006816),7,335,76,0.0012868337187405706,ATP2A3;CACNA2D1;CACNB4;CAV1;CCL5;KCNN4;RYR3,0.028638676390447627
GO_BP_2025,down,Cellular Response to Growth Factor Stimulus (GO:0071363),9,335,122,0.0013594148690060088,ACVR1C;CCL2;CCL5;ERN1;FOXC1;HAS2;MAPT;SFRP1;SMAD9,0.028638676390447627
GO_BP_2025,down,"GPCR Sgnlng Pway, Coupled to Cyclic Nucleotide Second Messenger (GO:0007187)",3,335,11,0.0014661187561847257,CCL2;CHRM3;NPY1R,0.028638676390447627
GO_BP_2025,down,Anterograde Trans-Synaptic Signaling (GO:0098916),7,335,78,0.0014989084925722976,CACNB4;CHRM3;CPLX1;GLRB;GRIA2;KCNC4;MPP3,0.028638676390447627
GO_BP_2025,down,Cellular Response to Oxygen-Containing Compound (GO:1901701),15,335,287,0.001552913048964184,CACNA2D1;CAV1;CCL2;CCL28;CXCL5;ITGA4;MAPT;NRIP1;PDE4B;RAPGEF3;RORB;RYR3;SFRP1;SLIT2;TESC,0.028638676390447627
GO_BP_2025,down,Cell-Matrix Adhesion (GO:0007160),7,335,79,0.0016146768652875838,CD96;COL17A1;DLC1;ITGA4;ITGA6;RNASE1;SGCE,0.028638676390447627
GO_BP_2025,down,Chemokine-Mediated Signaling Pathway (GO:0070098),4,335,24,0.0016387300849726107,CCL2;CCL5;CXCL12;FOXC1,0.028638676390447627
GO_BP_2025,down,Granulocyte Chemotaxis (GO:0071621),5,335,40,0.0016439119378202564,CCL2;CCL28;CCL5;CXCL5;PDE4B,0.028638676390447627
GO_BP_2025,down,Cell-Substrate Junction Assembly (GO:0007044),4,335,26,0.0022282920594073885,COL17A1;DLC1;DST;ITGA6,0.03300908421447048
GO_BP_2025,down,Transition Metal Ion Transport (GO:0000041),4,335,26,0.0022282920594073885,SLC31A2;SLC39A8;TF;TTYH1,0.03300908421447048
GO_BP_2025,down,Vasculogenesis (GO:0001570),4,335,26,0.0022282920594073885,CAV1;EGFL7;HAS2;TGFBR3,0.03300908421447048
GO_BP_2025,down,Negative Regulation of Cell Population Proliferation (GO:0008285),15,335,300,0.0023854867294576753,ACVR1C;ADAMTS1;APOD;AZGP1;DLC1;ETS1;FRZB;MPP3;MYC;RUNX3;SFRP1;SFRP4;TBX3;TESC;TGFBR3,0.03300908421447048
GO_BP_2025,down,Positive Regulation of Apoptotic Process (GO:0043065),14,335,272,0.0025342244765336384,ACVR1C;CCL2;DLC1;EPHA7;FRZB;HTRA1;ITGA4;ITGA6;KCNMA1;OLFM1;PHLDA1;SFRP1;SFRP4;SLIT2,0.03300908421447048
GO_BP_2025,down,Cellular Response to Chemokine (GO:1990869),4,335,27,0.002571656985699405,CCL2;CCL5;CXCL12;FOXC1,0.03300908421447048
GO_BP_2025,down,Negative Regulation of Epithelial Cell Proliferation (GO:0050680),6,335,64,0.0025928585787801583,CAV1;CEACAM1;RUNX3;SFRP1;SPARC;TGFBR3,0.03300908421447048
GO_BP_2025,down,Axon Guidance (GO:0007411),8,335,112,0.003035953906461868,ARHGEF40;CNTN4;CXCL12;EFNB2;EPHA7;RNASE1;SLIT2;SMOX,0.03517546844338574
GO_BP_2025,down,Chemical Synaptic Transmission (GO:0007268),8,335,112,0.003035953906461868,CACNB4;CHRM3;CPLX1;GLRB;GRIA2;KCNC4;MPP3;SNPH,0.03517546844338574
GO_BP_2025,down,Hexose Transmembrane Transport (GO:0008645),3,335,14,0.003081838624949204,SLC2A3;SLC2A9;SLC5A1,0.03517546844338574
