dataset,contrast,subtype,design,n_case,n_control,median_candidate_fraction_case,median_candidate_fraction_control,median_difference,ci95_low,ci95_high,effect_logit_mean_delta,hedges_g_logit,p,positive_pairs,negative_pairs,fdr_within_contrast,endpoint_role
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Ambiguous_secretory,unpaired,5,5,0.0504939626783754,0.043607532210109,0.006886430468266404,-0.028456017058593897,0.023159730224266997,0.09065698899549046,0.22234311770231763,0.6904761904761905,,,0.8055555555555555,secondary_subtype
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Goblet,unpaired,5,5,0.007971656333038,0.0039643211100099,0.0040073352230281,-0.0039643211100099,0.0095268031503451,0.5426528553173604,0.9875652446504208,0.30952380952380953,,,0.7666666666666668,secondary_subtype
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Inflammatory_secretory,unpaired,5,5,0.0114052953156822,0.0075187969924812,0.003886498323201,-0.006191259999194901,0.0115976331360946,0.5445852625089929,0.6272902067764918,0.5476190476190477,,,0.7666666666666668,secondary_subtype
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Mucous_glandular,unpaired,5,5,0.0065861690450054,0.0150375939849624,-0.008451424939957,-0.0305958270411002,0.030416951469583002,-0.7089533098289893,-0.5279792457439977,0.42063492063492064,,,0.7666666666666668,secondary_subtype
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Serous_glandular,unpaired,5,5,0.775022143489814,0.7563472563472563,0.018674887142557717,-0.10439456451796048,0.10108755478812914,-0.03874305686919666,-0.11306479633411505,1.0,,,1.0,primary_serous
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Surface_club,unpaired,5,5,0.0026572187776793,0.0450097847358121,-0.042352565958132804,-0.0757126871784335,0.037691568427023994,-1.351642892779625,-0.8740150315333054,0.5476190476190477,,,0.7666666666666668,secondary_subtype
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Transitional_secretory,unpaired,5,5,0.1523472099202834,0.1174812030075188,0.03486600691276459,-0.08253881584780381,0.0884900329996662,0.22338347893596766,0.5524384928541672,0.30952380952380953,,,0.7666666666666668,secondary_subtype
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Ambiguous_secretory,unpaired,4,5,0.04179974449057805,0.043607532210109,-0.001807787719530947,-0.0319080077144594,0.03398248269452045,-0.04018706829314622,-0.07552520122876273,1.0,,,1.0,secondary_subtype
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Goblet,unpaired,4,5,0.00107066381156315,0.0039643211100099,-0.0028936572984467504,-0.0093984962406015,0.0041001950190223,-0.26349764934039843,-0.339003202588047,0.7301587301587302,,,1.0,secondary_subtype
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Inflammatory_secretory,unpaired,4,5,0.15221977229842895,0.0075187969924812,0.14470097530594775,0.0237312030075188,0.2021586223623575,3.070853908333522,2.908260364550431,0.015873015873015872,,,0.05555555555555555,secondary_subtype
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Mucous_glandular,unpaired,4,5,0.0131658190578158,0.0150375939849624,-0.0018717749271466005,-0.024016177028289797,0.011868431639992502,0.11742664006804837,0.13265057800111027,0.9047619047619049,,,1.0,secondary_subtype
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Serous_glandular,unpaired,4,5,0.5935004790801661,0.7563472563472563,-0.16284677726709018,-0.23399542198921952,0.0639652436527437,-0.49829499510683994,-0.9731089345564962,0.2857142857142857,,,0.5,primary_serous
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Surface_club,unpaired,4,5,0.0,0.0450097847358121,-0.0450097847358121,-0.0783699059561128,-0.0168483647175421,-2.5209249908163103,-4.631820686516243,0.015873015873015872,,,0.05555555555555555,secondary_subtype
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Transitional_secretory,unpaired,4,5,0.18248961992973484,0.1174812030075188,0.06500841692221604,-0.05239640583835237,0.10204198076161448,0.3566725034492886,0.7959732594056851,0.2857142857142857,,,0.5,secondary_subtype
GSE276503,CRSwNP_vs_Healthy_IT,Ambiguous_secretory,unpaired,6,2,0.03097801748476405,0.0487999621382727,-0.017821944653508653,-0.028998410342671952,-0.006918787216162153,-0.5298957017405157,-1.2672515605231343,0.07142857142857142,,,0.16666666666666666,secondary_subtype
GSE276503,CRSwNP_vs_Healthy_IT,Goblet,unpaired,6,2,0.0019590637112426,0.00893085003880145,-0.0069717863275588505,-0.014760912226813501,0.002177139986911,-0.7647814515871811,-0.8416439038002231,0.8571428571428571,,,1.0,secondary_subtype
GSE276503,CRSwNP_vs_Healthy_IT,Inflammatory_secretory,unpaired,6,2,0.0036090026063784,0.01054325691016145,-0.006934254303783051,-0.0130788264404383,0.0018655813076833005,-1.6371173561635386,-0.8640961947752769,0.42857142857142855,,,0.75,secondary_subtype
GSE276503,CRSwNP_vs_Healthy_IT,Mucous_glandular,unpaired,6,2,0.0751862148334492,0.0128683451277595,0.0623178697056897,0.016407598768067397,0.10063334558532545,1.6132866312573415,2.0059759998055187,0.07142857142857142,,,0.16666666666666666,secondary_subtype
GSE276503,CRSwNP_vs_Healthy_IT,Serous_glandular,unpaired,6,2,0.7477050680362467,0.7567889564225558,-0.009083888386309136,-0.41932516398800324,0.0726200582796045,-0.5314822634988606,-0.4957910140706506,1.0,,,1.0,primary_serous
GSE276503,CRSwNP_vs_Healthy_IT,Surface_club,unpaired,6,2,0.00027056277056275,0.0101566008139818,-0.009886038043419051,-0.0116648992576882,-0.007838585771085201,-2.745369767736687,-2.6140078078267646,0.07142857142857142,,,0.16666666666666666,secondary_subtype
GSE276503,CRSwNP_vs_Healthy_IT,Transitional_secretory,unpaired,6,2,0.12706630391525214,0.15191202854846694,-0.0248457246332148,-0.09169311129489059,0.42527464659142455,0.30615024232107024,0.20911249005350097,0.8571428571428571,,,1.0,secondary_subtype
GSE261706,AR_vs_Healthy_IT,Ambiguous_secretory,unpaired,2,2,0.05448747523337705,0.0491794880738024,0.005307987159574645,-0.017151775603445205,0.027767749922594502,0.17065233222514298,0.24272589871824074,1.0,,,1.0,secondary_subtype
GSE261706,AR_vs_Healthy_IT,Goblet,unpaired,2,2,0.01745471261879435,0.0071238920691113,0.01033082054968305,-4.824834328998745e-06,0.020666465933695102,0.7707778764472266,0.7339528016136816,0.6666666666666666,,,0.7777777777777777,secondary_subtype
GSE261706,AR_vs_Healthy_IT,Inflammatory_secretory,unpaired,2,2,0.1821057952314125,0.0069015429286433,0.17520425230276918,0.0008055528811686998,0.34960295172436967,2.380972447212257,0.6696972556133641,0.3333333333333333,,,0.4666666666666666,secondary_subtype
GSE261706,AR_vs_Healthy_IT,Mucous_glandular,unpaired,2,2,0.01659169351503925,0.00571786073968145,0.010873832775357799,0.0019057361415275994,0.019841929409187997,0.9774387864316205,1.0153710151004338,0.3333333333333333,,,0.4666666666666666,secondary_subtype
GSE261706,AR_vs_Healthy_IT,Serous_glandular,unpaired,2,2,0.342565566778235,0.21022566257863967,0.13233990419959535,0.012406624772485997,0.2522731836267047,0.6350000138473697,0.7335530011935744,0.3333333333333333,,,0.4666666666666666,primary_serous
GSE261706,AR_vs_Healthy_IT,Surface_club,unpaired,2,2,0.0020126520862714502,0.04434339426862385,-0.042330742182352395,-0.0781755805878325,-0.0064859037768723,-2.675169335729616,-1.3183868026104961,0.3333333333333333,,,0.4666666666666666,secondary_subtype
GSE261706,AR_vs_Healthy_IT,Transitional_secretory,unpaired,2,2,0.3847821045368701,0.6765081593414978,-0.29172605480462765,-0.4073050161854656,-0.17614709342378976,-1.2248098545355766,-1.9188983900590315,0.3333333333333333,,,0.4666666666666666,secondary_subtype
GSE276503,NP_vs_CRSwNP_IT,Ambiguous_secretory,unpaired,15,6,0.0560323069156991,0.03097801748476405,0.02505428943093505,0.011713754577269302,0.04398414865700045,0.7117660685628087,2.147675926409989,0.00044228217602830603,,,0.0010319917440660474,secondary_subtype
GSE276503,NP_vs_CRSwNP_IT,Goblet,unpaired,15,6,0.0078907435508345,0.0019590637112426,0.0059316798395919,0.0017495661340405002,0.0165603055879595,1.2575517832783394,1.2061404574519092,0.014300457024915229,,,0.02002063983488132,secondary_subtype
GSE276503,NP_vs_CRSwNP_IT,Inflammatory_secretory,unpaired,15,6,0.1056971514242878,0.0036090026063784,0.1020881488179094,0.06963832934654966,0.1816200508536142,3.9579516321578714,2.9427536761817104,7.371369600471768e-05,,,0.00025799793601651185,secondary_subtype
GSE276503,NP_vs_CRSwNP_IT,Mucous_glandular,unpaired,15,6,0.0007264802034144,0.0751862148334492,-0.0744597346300348,-0.11274468844207816,-0.028549463692412496,-4.253478213945224,-6.122648146476227,3.685684800235884e-05,,,0.00025799793601651185,secondary_subtype
GSE276503,NP_vs_CRSwNP_IT,Serous_glandular,unpaired,15,6,0.1805303305484925,0.7477050680362467,-0.5671747374877543,-0.6371043101023959,-0.05195447161259126,-1.7634432668592703,-1.956760712961592,0.006228807312398643,,,0.010900412796697624,primary_serous
GSE276503,NP_vs_CRSwNP_IT,Surface_club,unpaired,15,6,0.0009078529278256,0.00027056277056275,0.00063729015726285,-0.0012606738021045502,0.002291325695581,0.8753949686567184,0.9826855317597369,0.03645142267433289,,,0.03645142267433289,secondary_subtype
GSE276503,NP_vs_CRSwNP_IT,Transitional_secretory,unpaired,15,6,0.5616065350578625,0.12706630391525214,0.43454023114261037,-0.015580140082029015,0.5064262896386794,1.5309977491708304,1.6616924761581258,0.02926433731387292,,,0.03414172686618507,secondary_subtype
GSE235711,paired_NP_vs_Ethmoid,Ambiguous_secretory,paired,4,4,0.04739296137742305,0.04179974449057805,0.009647764833302099,-0.023632475616222295,0.0355879380053908,0.24966831269092638,,0.625,2.0,2.0,0.875,secondary_subtype
GSE235711,paired_NP_vs_Ethmoid,Goblet,paired,4,4,0.0064159373730659506,0.00107066381156315,0.0042562456806086,-0.0037072176540867002,0.0188679245283018,0.5180264105171984,,0.625,3.0,1.0,0.875,secondary_subtype
GSE235711,paired_NP_vs_Ethmoid,Inflammatory_secretory,paired,4,4,0.3270456160239932,0.15221977229842895,0.2015097184267079,-0.19878417316747488,0.5114274483378257,0.5448821660157712,,0.875,2.0,2.0,0.875,secondary_subtype
GSE235711,paired_NP_vs_Ethmoid,Mucous_glandular,paired,4,4,0.0015794859444473999,0.0131658190578158,-0.0115863331133684,-0.0247524752475247,-0.005885866891559501,-2.1230436292315673,,0.125,0.0,4.0,0.875,secondary_subtype
GSE235711,paired_NP_vs_Ethmoid,Serous_glandular,paired,4,4,0.4139786525260639,0.5935004790801661,-0.17428047220526,-0.6262424191374663,0.27514231499051234,-0.8004374192977979,,0.625,2.0,2.0,0.875,primary_serous
GSE235711,paired_NP_vs_Ethmoid,Surface_club,paired,4,4,0.0015385609170292499,0.0,0.0015385609170292499,-0.0037378445679633996,0.0056497175141242,-0.5424035530593048,,0.375,3.0,1.0,0.875,secondary_subtype
GSE235711,paired_NP_vs_Ethmoid,Transitional_secretory,paired,4,4,0.1700968523002421,0.18248961992973484,-0.003534693885431997,-0.08832314287722261,0.07328869047619041,-0.05272415873263353,,0.875,2.0,2.0,0.875,secondary_subtype
