dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion,classification_coverage,logit_candidate_fraction
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Ambiguous_secretory,267,4225,1.8737469317393992e-05,4225,0.0631952662721893,0.0631952662721893,0.0631952662721893,1.0,-2.6945008782754276
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Goblet,57,4225,0.0,4225,0.013491124260355,0.013491124260355,0.013491124260355,1.0,-4.283526590047363
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Inflammatory_secretory,49,4225,0.0,4225,0.0115976331360946,0.0115976331360946,0.0115976331360946,1.0,-4.435256184621316
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Mucous_glandular,31,4225,4.283755997258397e-05,4225,0.0073372781065088,0.0073372781065088,0.0073372781065088,1.0,-4.891541876454762
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785,4225,3.137058066944819e-05,4225,0.659171597633136,0.659171597633136,0.659171597633136,1.0,0.6594371149362868
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Surface_club,310,4225,3.436136380225185e-05,4225,0.0733727810650887,0.0733727810650887,0.0733727810650887,1.0,-2.534514412817459
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Transitional_secretory,726,4225,0.0,4225,0.1718343195266272,0.1718343195266272,0.1718343195266272,1.0,-1.5721368971192566
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Ambiguous_secretory,46,911,0.0,911,0.0504939626783754,0.0504939626783754,0.0504939626783754,1.0,-2.9238550620229535
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Goblet,9,911,0.0,911,0.0098792535675082,0.0098792535675082,0.0098792535675082,1.0,-4.553876891600541
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Inflammatory_secretory,7,911,0.0,911,0.0076838638858397,0.0076838638858397,0.0076838638858397,1.0,-4.792479284293085
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Mucous_glandular,6,911,0.000234962406015,911,0.0065861690450054,0.0065861690450054,0.0065861690450054,1.0,-4.936685100421877
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596,911,0.0,911,0.6542261251372119,0.6542261251372119,0.6542261251372119,1.0,0.6369205595567032
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Surface_club,75,911,0.0,911,0.0823271130625686,0.0823271130625686,0.0823271130625686,1.0,-2.4050938641718997
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Transitional_secretory,172,911,0.0,911,0.1888035126234906,0.1888035126234906,0.1888035126234906,1.0,-1.45557704567944
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Ambiguous_secretory,58,1129,0.0004213631517413,1129,0.0513728963684676,0.0513728963684676,0.0513728963684676,1.0,-2.907788060675821
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Goblet,9,1129,0.0004712535344015,1129,0.007971656333038,0.007971656333038,0.007971656333038,1.0,-4.770238494634486
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Inflammatory_secretory,5,1129,0.0,1129,0.0044286979627989,0.0044286979627989,0.0044286979627989,1.0,-5.320345679160945
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Mucous_glandular,7,1129,0.0001256965684836,1129,0.0062001771479185,0.0062001771479185,0.0062001771479185,1.0,-5.0084105990741445
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875,1129,0.0001419446415897,1129,0.775022143489814,0.775022143489814,0.775022143489814,1.0,1.2354943157353289
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Surface_club,3,1129,0.0014164305949008,1129,0.0026572187776793,0.0026572187776793,0.0026572187776793,1.0,-5.774107791376931
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Transitional_secretory,172,1129,0.0001668581204053,1129,0.1523472099202834,0.1523472099202834,0.1523472099202834,1.0,-1.7139284845833866
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Ambiguous_secretory,105,2455,6.481861590648834e-05,2455,0.0427698574338085,0.0427698574338085,0.0427698574338085,1.0,-3.1036723975480642
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Goblet,19,2455,4.803766152663688e-05,2455,0.0077393075356415,0.0077393075356415,0.0077393075356415,1.0,-4.82790339671386
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Inflammatory_secretory,28,2455,6.304525664177477e-05,2455,0.0114052953156822,0.0114052953156822,0.0114052953156822,1.0,-4.4447131128908755
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Mucous_glandular,2,2455,0.0,2455,0.0008146639511201,0.0008146639511201,0.0008146639511201,1.0,-6.888980123655803
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945,2455,6.946856547412296e-05,2455,0.7922606924643585,0.7922606924643585,0.7922606924643585,1.0,1.337883654819888
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Surface_club,3,2455,5.869577977343429e-05,2455,0.0012219959266802,0.0012219959266802,0.0012219959266802,1.0,-6.5521002229441505
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Transitional_secretory,353,2455,5.791729410401946e-05,2455,0.1437881873727087,0.1437881873727087,0.1437881873727087,1.0,-1.7829989065104757
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Ambiguous_secretory,1,66,0.0,65,0.0151515151515151,0.0153846153846153,0.0153846153846153,0.9848484848484849,-3.776585034533042
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Goblet,0,66,,65,0.0,0.0,0.0,0.9848484848484849,-4.890349128221754
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Inflammatory_secretory,1,66,0.0,65,0.0151515151515151,0.0153846153846153,0.0153846153846153,0.9848484848484849,-3.776585034533042
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Mucous_glandular,3,66,0.0,65,0.0454545454545454,0.0461538461538461,0.0461538461538461,0.9848484848484849,-2.898276937403278
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53,66,1.2034563265699088e-05,65,0.803030303030303,0.8153846153846154,0.8153846153846154,0.9848484848484849,1.3769919684575769
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Surface_club,0,66,,65,0.0,0.0,0.0,0.9848484848484849,-4.890349128221754
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Transitional_secretory,7,66,0.0,65,0.106060606060606,0.1076923076923077,0.1076923076923077,0.9848484848484849,-2.0710732920093196
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Ambiguous_secretory,2,128,0.0,128,0.015625,0.015625,0.015625,1.0,-3.92395157629342
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Goblet,0,128,,128,0.0,0.0,0.0,1.0,-5.54907608489522
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Inflammatory_secretory,4,128,0.0,128,0.03125,0.03125,0.03125,1.0,-3.3202283191284883
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Mucous_glandular,2,128,0.1330978635423845,128,0.015625,0.015625,0.015625,1.0,-3.92395157629342
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105,128,0.0,128,0.8203125,0.8203125,0.8203125,1.0,1.501710531766008
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Surface_club,0,128,,128,0.0,0.0,0.0,1.0,-5.54907608489522
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Transitional_secretory,15,128,0.0,128,0.1171875,0.1171875,0.1171875,1.0,-1.9909628129962564
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Ambiguous_secretory,57,1113,0.0,1113,0.0512129380053908,0.0512129380053908,0.0512129380053908,1.0,-2.9109318892528067
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Goblet,21,1113,2.3430178069353328e-05,1113,0.0188679245283018,0.0188679245283018,0.0188679245283018,1.0,-3.928170991836128
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Inflammatory_secretory,604,1113,0.0,1113,0.5426774483378257,0.5426774483378257,0.5426774483378257,1.0,0.17097181739206793
