dataset,sample,donor,disease,tissue,library,error,included_readable,exclusion_reason
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,single,,True,
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,single,,True,
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,single,,True,
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,single,,True,
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,single,,True,
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,single,,True,
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,single,,True,
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,single,,True,
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,single,,True,
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,single,,True,
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,single,,True,
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,single,,True,
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,single,,True,
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,single,,True,
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,single,,True,
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,single,,True,
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,single,,True,
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,single,,True,
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,single,,True,
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,single,,True,
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,single,,True,
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,single,,True,
GSE276503,CRSIT11,CRSIT11,CRSwNP,Inferior_turbinate,single,ValueError: Line 18791045: Invalid integer value.,False,ValueError: Line 18791045: Invalid integer value.
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,single,,True,
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,single,,True,
GSE276503,CRSIT14,CRSIT14,CRSwNP,Inferior_turbinate,single,ValueError: Line 9207245: Invalid integer value.,False,ValueError: Line 9207245: Invalid integer value.
GSE276503,CRSIT15,CRSIT15,CRSwNP,Inferior_turbinate,single,ValueError: Line 4200292: Invalid integer value.,False,ValueError: Line 4200292: Invalid integer value.
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,single,,True,
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,single,,True,
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,single,,True,
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,single,,True,
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,single,,True,
GSE276503,CRSMT22,CRSMT22,CRSwNP,Middle_turbinate,single,ValueError: Line 4199500: Invalid integer value.,False,ValueError: Line 4199500: Invalid integer value.
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,single,,True,
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,single,,True,
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,single,,True,
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,single,,True,
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,single,,True,
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP42,CRSNP42,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP43,CRSNP43,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP44,CRSNP44,CRSwNP,Nasal_polyp,single,,True,
GSE276503,CRSNP45,CRSNP45,CRSwNP,Nasal_polyp,single,,True,
GSE261706,GSM8149310,AR1,AR,Inferior_turbinate,GC111199_SI-GA-H2,,True,
GSE261706,GSM8149311,AR1,AR,Inferior_turbinate,GC111200_SI-GA-A3,,True,
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,GC111201_SI-GA-B3,,True,
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,GC111202_SI-GA-C3,,True,
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,GC111377_SI-GA-D3,,True,
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,GC111378_SI-GA-E3,,True,
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,GC111379_SI-GA-F3,,True,
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,GC111380_SI-GA-G3,,True,
