dataset,donor,disease,tissue,subtype,column,n_cells,eligible_n10,eligible_n20,eligible_n50
GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,HC_1|Healthy|Ethmoid|Serous_glandular,1847,True,True,True
GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,HC_2|Healthy|Ethmoid|Serous_glandular,792,True,True,True
GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,HC_3|Healthy|Ethmoid|Serous_glandular,680,True,True,True
GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,HC_4|Healthy|Ethmoid|Serous_glandular,816,True,True,True
GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,HC_5|Healthy|Ethmoid|Serous_glandular,242,True,True,True
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,2785,True,True,True
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,596,True,True,True
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,875,True,True,True
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,1945,True,True,True
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,53,True,True,True
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,105,True,True,True
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,68,True,True,True
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,490,True,True,True
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,129,True,True,True
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,216,True,True,True
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,378,True,True,True
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,2327,True,True,True
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,427,True,True,True
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,339,True,True,True
GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,64,True,True,True
GSE276503,HCIT01,Healthy,Inferior_turbinate,Serous_glandular,HCIT01|Healthy|Inferior_turbinate|Serous_glandular,2441,True,True,True
GSE276503,HCIT02,Healthy,Inferior_turbinate,Serous_glandular,HCIT02|Healthy|Inferior_turbinate|Serous_glandular,2070,True,True,True
GSE276503,CRSIT12,CRSwNP,Inferior_turbinate,Serous_glandular,CRSIT12|CRSwNP|Inferior_turbinate|Serous_glandular,1298,True,True,True
