dataset,disease,tissue,samples,donors,cells,cells_ge_200_genes,median_sample_genes,median_sample_pct_mt
GSE235711,CRSsNP,Ethmoid,5,5,28487.0,27445.0,1506.0,9.913383901474074
GSE235711,CRSwNP,Ethmoid,4,4,13356.0,11679.0,1046.25,9.45979027517351
GSE235711,CRSwNP,Nasal_polyp,6,6,27101.0,26399.0,1255.5,10.866096276914607
GSE235711,Healthy,Ethmoid,5,5,20744.0,17971.0,833.0,11.544227886056971
GSE261706,AR,Inferior_turbinate,4,2,44083.0,34831.0,817.25,22.4807145952159
GSE261706,Healthy,Inferior_turbinate,4,2,43494.0,38656.0,1567.0,17.6723280894191
GSE276503,CRSwNP,Inferior_turbinate,9,9,38683.0,38433.0,1209.0,5.7559080041737944
GSE276503,CRSwNP,Middle_turbinate,7,7,64871.0,64344.0,1163.0,7.201382606774752
GSE276503,CRSwNP,Nasal_polyp,15,15,101230.0,99874.0,1539.0,4.18710878024023
GSE276503,Healthy,Inferior_turbinate,2,2,16919.0,16846.0,1710.5,15.767060972854093
