dataset,sample,donor,disease,tissue,library,n_genes,n_cells,total_umis,median_umis,median_genes,median_pct_mt,cells_ge_200_genes,cells_lt_20pct_mt,qc_error
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,single,33575.0,4097.0,59849045.0,9257.0,2544.0,7.336309024398429,3645.0,3336.0,
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,single,33575.0,4567.0,33760761.0,3897.0,858.0,16.99571472298745,3422.0,2499.0,
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,single,33575.0,3287.0,11176008.0,1582.0,708.0,9.5004095004095,2983.0,2870.0,
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,single,33575.0,4795.0,15598017.0,1595.0,720.0,11.544227886056971,4727.0,3768.0,
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,single,33575.0,3998.0,14516159.0,2516.0,833.0,14.371320830268816,3194.0,2347.0,
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,single,33575.0,7810.0,85048853.0,6502.0,1989.0,10.916202517366726,7591.0,6569.0,
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,single,33575.0,3491.0,31648916.0,4871.0,1506.0,8.559574276179308,3045.0,2846.0,
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,single,33575.0,8206.0,45834897.0,2923.0,1032.0,8.82610757716813,8078.0,7130.0,
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,single,33575.0,7384.0,66319199.0,5033.5,1669.0,12.7070140352983,7320.0,5728.0,
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,single,33575.0,1596.0,7221080.0,2995.0,1020.5,9.913383901474074,1411.0,1273.0,
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,single,33575.0,1378.0,8014884.0,3088.0,1054.5,8.53007738583975,1144.0,1095.0,
GSE235711,GSM7508300_CRSwNP_Eth_2,CRSwNP_2,CRSwNP,Ethmoid,single,33575.0,1965.0,11462493.0,4057.0,350.0,30.205655526992288,1113.0,827.0,
GSE235711,GSM7508301_CRSwNP_Eth_3,CRSwNP_3,CRSwNP,Ethmoid,single,33575.0,8049.0,53734738.0,3764.0,1040.0,9.240381453469254,7643.0,5741.0,
GSE235711,GSM7508302_CRSwNP_Eth_6,CRSwNP_6,CRSwNP,Ethmoid,single,33575.0,1964.0,11671301.0,3520.5,1052.5,9.679199096877767,1779.0,1465.0,
GSE235711,GSM7508303_CRSwNP_NP_1,CRSwNP_1,CRSwNP,Nasal_polyp,single,33575.0,3377.0,26489190.0,4231.0,1350.0,9.973841869884398,3250.0,2727.0,
GSE235711,GSM7508304_CRSwNP_NP_2,CRSwNP_2,CRSwNP,Nasal_polyp,single,33575.0,3270.0,26907852.0,4913.0,1481.5,10.92734139616659,3139.0,2411.0,
GSE235711,GSM7508305_CRSwNP_NP_3,CRSwNP_3,CRSwNP,Nasal_polyp,single,33575.0,8453.0,39978393.0,3176.0,1161.0,11.70864533696392,8431.0,6617.0,
GSE235711,GSM7508306_CRSwNP_NP_4,CRSwNP_4,CRSwNP,Nasal_polyp,single,33575.0,5757.0,29598543.0,3208.0,1066.0,10.804851157662624,5548.0,4644.0,
GSE235711,GSM7508307_CRSwNP_NP_5,CRSwNP_5,CRSwNP,Nasal_polyp,single,33575.0,4269.0,36920087.0,5548.0,1730.0,14.637056070478113,4127.0,2941.0,
GSE235711,GSM7508308_CRSwNP_NP_6,CRSwNP_6,CRSwNP,Nasal_polyp,single,33575.0,1975.0,7904891.0,1930.0,802.0,7.6980014803849,1904.0,1730.0,
GSE276503,HCIT01,HCIT01,Healthy,Inferior_turbinate,single,35767.0,8791.0,86137783.0,6027.0,1648.0,15.445926338176541,8744.0,5773.0,
GSE276503,HCIT02,HCIT02,Healthy,Inferior_turbinate,single,35776.0,8128.0,82537496.0,6653.5,1773.0,16.088195607531645,8102.0,5123.0,
GSE276503,CRSIT11,CRSIT11,CRSwNP,Inferior_turbinate,,,,,,,,,,ValueError: Line 18791045: Invalid integer value.
GSE276503,CRSIT12,CRSIT12,CRSwNP,Inferior_turbinate,single,37502.0,9106.0,81434802.0,5236.0,1725.0,10.460622807671726,9049.0,7994.0,
GSE276503,CRSIT13,CRSIT13,CRSwNP,Inferior_turbinate,single,37542.0,6543.0,75960533.0,6753.0,2034.0,7.4746008708272855,6465.0,5714.0,
GSE276503,CRSIT14,CRSIT14,CRSwNP,Inferior_turbinate,,,,,,,,,,ValueError: Line 9207245: Invalid integer value.
GSE276503,CRSIT15,CRSIT15,CRSwNP,Inferior_turbinate,,,,,,,,,,ValueError: Line 4200292: Invalid integer value.
GSE276503,CRSIT16,CRSIT16,CRSwNP,Inferior_turbinate,single,37245.0,5231.0,19373393.0,2001.0,743.0,2.7148507731032003,5144.0,5044.0,
GSE276503,CRSIT17,CRSIT17,CRSwNP,Inferior_turbinate,single,37922.0,6784.0,28962091.0,3032.5,1119.0,5.5720145354049055,6765.0,6163.0,
GSE276503,CRSIT18,CRSIT18,CRSwNP,Inferior_turbinate,single,36612.0,6257.0,30048508.0,3275.0,1183.0,5.939801472942683,6251.0,5678.0,
GSE276503,CRSIT19,CRSIT19,CRSwNP,Inferior_turbinate,single,35354.0,4762.0,25253333.0,3620.0,1235.0,5.085839749730528,4759.0,4412.0,
GSE276503,CRSMT21,CRSMT21,CRSwNP,Middle_turbinate,single,36930.0,8111.0,56391914.0,3605.0,1164.0,5.599180607715944,8030.0,7400.0,
GSE276503,CRSMT22,CRSMT22,CRSwNP,Middle_turbinate,,,,,,,,,,ValueError: Line 4199500: Invalid integer value.
GSE276503,CRSMT23,CRSMT23,CRSwNP,Middle_turbinate,single,40010.0,8963.0,41509382.0,3262.0,1177.0,7.97735460627895,8844.0,8091.0,
GSE276503,CRSMT24,CRSMT24,CRSwNP,Middle_turbinate,single,37570.0,5381.0,26481939.0,3423.0,1232.0,7.745912623961404,5342.0,4953.0,
GSE276503,CRSMT25,CRSMT25,CRSwNP,Middle_turbinate,single,43184.0,15462.0,59220588.0,2751.5,1054.0,7.369065191939673,15354.0,12974.0,
GSE276503,CRSMT26,CRSMT26,CRSwNP,Middle_turbinate,single,42383.0,13346.0,56735002.0,3094.5,1162.0,7.03370002160983,13289.0,11350.0,
GSE276503,CRSMT27,CRSMT27,CRSwNP,Middle_turbinate,single,41320.0,13608.0,54563765.0,2897.0,1116.0,6.573308655319328,13485.0,11664.0,
GSE276503,CRSNP31,CRSNP31,CRSwNP,Nasal_polyp,single,30886.0,3605.0,20472278.0,3002.0,995.0,3.584521384928717,3404.0,3181.0,
GSE276503,CRSNP32,CRSNP32,CRSwNP,Nasal_polyp,single,31021.0,3714.0,18065094.0,2761.5,920.0,3.382535104723181,3523.0,3272.0,
GSE276503,CRSNP33,CRSNP33,CRSwNP,Nasal_polyp,single,35548.0,5832.0,46576534.0,4372.5,1716.5,2.351002429583712,5826.0,5697.0,
GSE276503,CRSNP34,CRSNP34,CRSwNP,Nasal_polyp,single,36672.0,6723.0,43664434.0,3327.0,1407.0,2.161547212741752,6633.0,6423.0,
GSE276503,CRSNP35,CRSNP35,CRSwNP,Nasal_polyp,single,35361.0,6802.0,38600553.0,3471.5,1335.5,5.04592834796734,6746.0,6268.0,
GSE276503,CRSNP36,CRSNP36,CRSwNP,Nasal_polyp,single,36247.0,6398.0,33369721.0,2910.5,1170.0,4.55895260092729,6305.0,5861.0,
GSE276503,CRSNP37,CRSNP37,CRSwNP,Nasal_polyp,single,33575.0,5031.0,36099221.0,4666.0,1709.0,4.18710878024023,4967.0,4790.0,
GSE276503,CRSNP38,CRSNP38,CRSwNP,Nasal_polyp,single,34444.0,7875.0,47950014.0,3945.0,1540.0,4.028673835125448,7805.0,7564.0,
GSE276503,CRSNP39,CRSNP39,CRSwNP,Nasal_polyp,single,35391.0,4703.0,36391437.0,4464.0,1527.0,6.066044508255564,4688.0,4464.0,
GSE276503,CRSNP40,CRSNP40,CRSwNP,Nasal_polyp,single,35558.0,5623.0,35165939.0,3258.0,1229.0,5.8362989323843415,5530.0,5224.0,
GSE276503,CRSNP41,CRSNP41,CRSwNP,Nasal_polyp,single,40021.0,9648.0,67787518.0,4445.0,1539.0,8.80593051349014,9550.0,8371.0,
GSE276503,CRSNP42,CRSNP42,CRSwNP,Nasal_polyp,single,40480.0,10333.0,83423645.0,5066.0,1673.0,8.557457212713937,10256.0,9085.0,
GSE276503,CRSNP43,CRSNP43,CRSwNP,Nasal_polyp,single,38134.0,8610.0,76936911.0,5573.5,1771.5,4.739062710015615,8489.0,8212.0,
GSE276503,CRSNP44,CRSNP44,CRSwNP,Nasal_polyp,single,38264.0,8232.0,74688937.0,5674.5,1809.0,4.063604610469258,8134.0,7880.0,
GSE276503,CRSNP45,CRSNP45,CRSwNP,Nasal_polyp,single,37711.0,8101.0,74726365.0,5780.0,1823.0,3.9853599023993493,8018.0,7810.0,
GSE261706,GSM8149310,AR1,AR,Inferior_turbinate,GC111199_SI-GA-H2,33538.0,10606.0,39434948.0,1248.0,572.0,16.915422885572138,9033.0,6321.0,
GSE261706,GSM8149311,AR1,AR,Inferior_turbinate,GC111200_SI-GA-A3,33538.0,9567.0,69018607.0,2724.0,1095.0,18.940493468795356,7703.0,4924.0,
GSE261706,GSM8149312,AR2,AR,Inferior_turbinate,GC111201_SI-GA-B3,33538.0,9988.0,51082069.0,2379.5,876.5,26.020935721636445,7988.0,3844.0,
GSE261706,GSM8149313,AR2,AR,Inferior_turbinate,GC111202_SI-GA-C3,33538.0,13922.0,67672068.0,2140.5,758.0,29.844515814234633,10107.0,4888.0,
GSE261706,GSM8149314,CON1,Healthy,Inferior_turbinate,GC111377_SI-GA-D3,33538.0,8102.0,55153143.0,4183.0,1500.0,21.624897068324515,6793.0,3811.0,
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,GC111378_SI-GA-E3,33538.0,9739.0,64956403.0,4205.0,1546.0,20.575489686254116,8088.0,4770.0,
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,GC111379_SI-GA-F3,33538.0,13165.0,73194469.0,3717.0,1588.0,14.769166492584082,12116.0,9140.0,
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,GC111380_SI-GA-G3,33538.0,12488.0,68997867.0,3839.5,1625.0,14.643412655812012,11659.0,8865.0,
