omitted_donor,gene,paired,external
none_full,ADGRG6,-2.3960619179021614,-1.9081544039289353
none_full,AMOTL1,-1.803744633415632,-2.2923888131796533
none_full,ANO1,-2.244564127899371,-1.6509893710025292
none_full,AZGP1,-4.358358093923235,-3.920736526555655
none_full,CA2,-2.24929867233816,-3.2561948676378205
none_full,CHI3L2,-1.5776759444655204,-3.3696460740557286
none_full,CHRM3,-2.6188625501689864,-2.3518548824705405
none_full,CHST1,-2.0398705306674723,-1.6626484432848716
none_full,DMBT1,-5.639178022435266,-4.122261086068283
none_full,F5,-2.9972170278347607,-1.9830612569776407
none_full,GJC3,-2.9523977103430963,-3.5184766872217734
none_full,GRIA2,-1.9165321717639983,-1.8688392122707642
none_full,HP,-6.0909640662301365,-5.557701766586934
none_full,KCNMA1,-1.8809547151248074,-1.7395072434129526
none_full,KCNN4,-3.200750220037518,-2.1938863351154874
none_full,KRT14,-1.9676355338903275,-4.042587405890661
none_full,LINC01829,-3.4817319496646832,-2.8554241628539487
none_full,NOSTRIN,-2.5937727983900363,-2.4956478915708793
none_full,NPY1R,-2.6283407191655543,-2.4266135472779062
none_full,ODAM,-4.315882966773296,-3.7691727625103515
none_full,PADI2,-1.7634289766899187,-1.5963885436334833
none_full,PHLDA1,-2.087166777222354,-2.693062429260446
none_full,PKDCC,-3.4351268821068035,-2.0075053467672914
none_full,PLCB1,-1.9584661283871119,-2.97095645480898
none_full,PPP1R1B,-3.2454766236447092,-3.6598857810485144
none_full,QPRT,-1.6308348285251446,-1.666481413001138
none_full,RNASE1,-2.9553928610981797,-2.0557341408732537
none_full,RNF128,-2.0954346500298007,-1.7869982331388239
none_full,RTN1,-3.463461524564792,-1.6452313243314298
none_full,SLC22A3,-2.4226393299995097,-2.7938137930689675
none_full,SLC37A2,-2.431928298334915,-2.5790254250657556
none_full,SLCO1A2,-2.3236119510833184,-1.8382357337682262
none_full,SMAD9,-1.6598190390445158,-1.7922609184984994
none_full,SOD3,-1.7844214846447333,-1.7917174380404717
none_full,ST3GAL5,-1.8554872385629806,-1.6426219394615567
none_full,STATH,-8.189139291661133,-8.01433607877914
none_full,TBX3,-1.8729774859587727,-2.1793646104436792
none_full,TCEAL2,-2.3141308312106275,-2.9723228495658915
none_full,TCN1,-2.368954049260302,-2.0815123200869152
none_full,TESC,-1.7496797057371394,-2.9405584663593003
CRSwNP_1,ADGRG6,-2.140400276860577,-1.9081544039289353
CRSwNP_1,AMOTL1,-1.7739085777819035,-2.2923888131796533
