dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Ambiguous_secretory,267,4225,1.8737469317393992e-05,4225,0.06319526627218935,0.06319526627218935,0.06319526627218935
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Goblet,57,4225,0.0,4225,0.01349112426035503,0.01349112426035503,0.01349112426035503
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Inflammatory_secretory,49,4225,0.0,4225,0.011597633136094675,0.011597633136094675,0.011597633136094675
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Mucous_glandular,31,4225,4.2837559972583965e-05,4225,0.0073372781065088755,0.0073372781065088755,0.0073372781065088755
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785,4225,3.137058066944819e-05,4225,0.659171597633136,0.659171597633136,0.659171597633136
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Surface_club,310,4225,3.436136380225185e-05,4225,0.07337278106508875,0.07337278106508875,0.07337278106508875
GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Transitional_secretory,726,4225,0.0,4225,0.17183431952662723,0.17183431952662723,0.17183431952662723
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Ambiguous_secretory,46,911,0.0,911,0.050493962678375415,0.050493962678375415,0.050493962678375415
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Goblet,9,911,0.0,911,0.009879253567508232,0.009879253567508232,0.009879253567508232
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Inflammatory_secretory,7,911,0.0,911,0.007683863885839737,0.007683863885839737,0.007683863885839737
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Mucous_glandular,6,911,0.00023496240601503758,911,0.006586169045005488,0.006586169045005488,0.006586169045005488
