dataset,contrast,subtype,n_case,n_control,median_case,median_control,median_difference,p,positive_pairs,negative_pairs
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Ambiguous_secretory,5,5,0.0504939626783754,0.043607532210109,0.006886430468266404,0.6904761904761905,,
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Goblet,5,5,0.007971656333038,0.0039643211100099,0.0040073352230281,0.5476190476190477,,
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Inflammatory_secretory,5,5,0.0114052953156822,0.0075258701787394,0.0038794251369428006,0.5476190476190477,,
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Mucous_glandular,5,5,0.0065861690450054,0.0150517403574788,-0.0084655713124734,0.42063492063492064,,
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Serous_glandular,5,5,0.775022143489814,0.7563472563472563,0.018674887142557717,1.0,,
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Surface_club,5,5,0.0026572187776793,0.0450538687561214,-0.0423966499784421,0.5476190476190477,,
GSE235711,CRSsNP_vs_Healthy_Ethmoid,Transitional_secretory,5,5,0.1523472099202834,0.1175917215428033,0.03475548837748009,0.30952380952380953,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Ambiguous_secretory,4,5,0.04179974449057805,0.043607532210109,-0.001807787719530947,1.0,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Goblet,4,5,0.00107066381156315,0.0039643211100099,-0.0028936572984467504,0.17609777149412875,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Inflammatory_secretory,4,5,0.15221977229842895,0.0075258701787394,0.14469390211968955,0.015873015873015872,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Mucous_glandular,4,5,0.0131658190578158,0.0150517403574788,-0.0018859212996629997,0.7301587301587302,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Serous_glandular,4,5,0.5935004790801661,0.7563472563472563,-0.16284677726709018,0.2857142857142857,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Surface_club,4,5,0.0,0.0450538687561214,-0.0450538687561214,0.017942811335638128,,
GSE235711,CRSwNP_vs_Healthy_Ethmoid,Transitional_secretory,4,5,0.18248961992973484,0.1175917215428033,0.06489789838693154,0.4126984126984127,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Ambiguous_secretory,6,2,0.03097801748476405,0.0487999621382727,-0.017821944653508653,0.07142857142857142,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Goblet,6,2,0.0019590637112426,0.00893085003880145,-0.0069717863275588505,0.6428571428571428,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Inflammatory_secretory,6,2,0.0036090026063784,0.01054325691016145,-0.006934254303783051,0.40184068446548316,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Mucous_glandular,6,2,0.0751862148334492,0.0128683451277595,0.0623178697056897,0.07142857142857142,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Serous_glandular,6,2,0.7477050680362467,0.7567889564225558,-0.009083888386309136,1.0,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Surface_club,6,2,0.00027056277056275,0.0101566008139818,-0.009886038043419051,0.06029808713337021,,
GSE276503,CRSwNP_vs_Healthy_Inferior_turbinate,Transitional_secretory,6,2,0.12706630391525214,0.15191202854846694,-0.0248457246332148,0.8571428571428571,,
GSE261706,AR_vs_Healthy_Inferior_turbinate,Ambiguous_secretory,2,2,0.05448747523337705,0.0491794880738024,0.005307987159574645,1.0,,
GSE261706,AR_vs_Healthy_Inferior_turbinate,Goblet,2,2,0.01745471261879435,0.0071238920691113,0.01033082054968305,0.6666666666666666,,
GSE261706,AR_vs_Healthy_Inferior_turbinate,Inflammatory_secretory,2,2,0.1821057952314125,0.0069015429286433,0.17520425230276918,0.3333333333333333,,
GSE261706,AR_vs_Healthy_Inferior_turbinate,Mucous_glandular,2,2,0.01659169351503925,0.00571786073968145,0.010873832775357799,0.3333333333333333,,
