dataset,sample,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,candidate_fraction,median_ig_fraction
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Surface_club,109,2442,0.04463554463554464,0.0
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Serous_glandular,1847,2442,0.7563472563472563,0.0
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Mucous_glandular,7,2442,0.0028665028665028664,0.0
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Goblet,5,2442,0.0020475020475020475,0.0
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Inflammatory_secretory,32,2442,0.013104013104013105,0.0
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Transitional_secretory,305,2442,0.1248976248976249,0.0
GSE235711,GSM7508289_Control_1,HC_1,Healthy,Ethmoid,Ambiguous_secretory,137,2442,0.0561015561015561,0.0
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Surface_club,60,1064,0.05639097744360902,0.0
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Serous_glandular,792,1064,0.7443609022556391,0.0
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Mucous_glandular,16,1064,0.015037593984962405,6.694471036371061e-06
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Goblet,10,1064,0.009398496240601503,0.0
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Inflammatory_secretory,8,1064,0.007518796992481203,0.0
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Transitional_secretory,125,1064,0.1174812030075188,0.0
GSE235711,GSM7508290_Control_2,HC_2,Healthy,Ethmoid,Ambiguous_secretory,52,1064,0.04887218045112782,0.0
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Surface_club,17,1009,0.01684836471754212,0.0
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Serous_glandular,680,1009,0.6739345887016849,0.0
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Mucous_glandular,13,1009,0.01288404360753221,0.0
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Goblet,4,1009,0.003964321110009911,0.00031486146095717883
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Inflammatory_secretory,14,1009,0.013875123885034688,5.246589716684155e-05
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Transitional_secretory,237,1009,0.2348860257680872,0.0
GSE235711,GSM7508291_Control_3,HC_3,Healthy,Ethmoid,Ambiguous_secretory,44,1009,0.04360753221010902,0.0
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Surface_club,46,1022,0.04500978473581213,0.0
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Serous_glandular,816,1022,0.7984344422700587,7.312213343873037e-05
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Mucous_glandular,38,1022,0.03718199608610567,8.645154656226846e-05
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Goblet,4,1022,0.003913894324853229,0.0001482799525504152
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Inflammatory_secretory,3,1022,0.0029354207436399216,0.0
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Transitional_secretory,85,1022,0.08317025440313111,0.0
GSE235711,GSM7508292_Control_4,HC_4,Healthy,Ethmoid,Ambiguous_secretory,29,1022,0.02837573385518591,0.00013544018058690745
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Surface_club,25,319,0.07836990595611286,0.0
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Serous_glandular,242,319,0.7586206896551724,0.0
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Mucous_glandular,8,319,0.025078369905956112,0.0
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Goblet,3,319,0.009404388714733543,0.0
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Inflammatory_secretory,0,319,0.0,
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Transitional_secretory,32,319,0.10031347962382445,0.0
GSE235711,GSM7508293_Control_5,HC_5,Healthy,Ethmoid,Ambiguous_secretory,9,319,0.02821316614420063,0.0
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Surface_club,310,4225,0.07337278106508875,3.436136380225185e-05
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785,4225,0.659171597633136,3.137058066944819e-05
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Mucous_glandular,31,4225,0.0073372781065088755,4.2837559972583965e-05
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Goblet,57,4225,0.01349112426035503,0.0
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Inflammatory_secretory,49,4225,0.011597633136094675,0.0
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Transitional_secretory,726,4225,0.17183431952662723,0.0
GSE235711,GSM7508294_CRSsNP_Eth_1,CRSsNP_1,CRSsNP,Ethmoid,Ambiguous_secretory,267,4225,0.06319526627218935,1.8737469317393992e-05
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Surface_club,75,911,0.08232711306256861,0.0
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596,911,0.6542261251372119,0.0
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Mucous_glandular,6,911,0.006586169045005488,0.00023496240601503758
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Goblet,9,911,0.009879253567508232,0.0
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Inflammatory_secretory,7,911,0.007683863885839737,0.0
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Transitional_secretory,172,911,0.18880351262349068,0.0
GSE235711,GSM7508295_CRSsNP_Eth_2,CRSsNP_2,CRSsNP,Ethmoid,Ambiguous_secretory,46,911,0.050493962678375415,0.0
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Surface_club,3,1129,0.002657218777679362,0.00141643059490085
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875,1129,0.775022143489814,0.00014194464158978
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Mucous_glandular,7,1129,0.006200177147918512,0.0001256965684836804
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Goblet,9,1129,0.007971656333038087,0.000471253534401508
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Inflammatory_secretory,5,1129,0.0044286979627989375,0.0
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Transitional_secretory,172,1129,0.15234720992028344,0.00016685812040535358
GSE235711,GSM7508296_CRSsNP_Eth_3,CRSsNP_3,CRSsNP,Ethmoid,Ambiguous_secretory,58,1129,0.05137289636846767,0.0004213631517413355
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Surface_club,3,2455,0.0012219959266802445,5.869577977343429e-05
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945,2455,0.7922606924643585,6.946856547412296e-05
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Mucous_glandular,2,2455,0.000814663951120163,0.0
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Goblet,19,2455,0.007739307535641548,4.803766152663688e-05
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Inflammatory_secretory,28,2455,0.011405295315682282,6.304525664177477e-05
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Transitional_secretory,353,2455,0.14378818737270876,5.791729410401946e-05
GSE235711,GSM7508297_CRSsNP_Eth_4,CRSsNP_4,CRSsNP,Ethmoid,Ambiguous_secretory,105,2455,0.04276985743380855,6.481861590648834e-05
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Surface_club,0,66,0.0,
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53,66,0.803030303030303,1.2034563265699088e-05
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Mucous_glandular,3,66,0.045454545454545456,0.0
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Goblet,0,66,0.0,
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Inflammatory_secretory,1,66,0.015151515151515152,0.0
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Transitional_secretory,7,66,0.10606060606060606,0.0
GSE235711,GSM7508298_CRSsNP_Eth_5,CRSsNP_5,CRSsNP,Ethmoid,Ambiguous_secretory,1,66,0.015151515151515152,0.0
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Surface_club,0,128,0.0,
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105,128,0.8203125,0.0
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Mucous_glandular,2,128,0.015625,0.13309786354238456
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Goblet,0,128,0.0,
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Inflammatory_secretory,4,128,0.03125,0.0
GSE235711,GSM7508299_CRSwNP_Eth_1,CRSwNP_1,CRSwNP,Ethmoid,Transitional_secretory,15,128,0.1171875,0.0
